description,image_id,label_eng,label_ka,notes,sort_ja,id
Cue book listing puppeteer assignments and groupings.,"[13300, 13301, 13318, 13319, 13320, 44980, 45010, 45017, 45050, 45238, 45353, 45367, 45513, 45928, 45944, 46173, 46712, 46748, 46821, 47011, 47069, 47885, 47886, 47887, 49038, 49039, 49111, 49754, 49755, 52490, 52491, 52492, 52493, 53028, 53032, 54869, 56539, 56540, 56541, 56542, 56543, 56544, 56545, 56546, 56547, 56548, 56549, 56550, 60727, 60737]",Kowari-chō/Kowari [cue book],小割帳,,こわりちょう,11
nan,"[44983, 44985, 44992, 44994, 45007, 45050, 45114, 45276, 45284, 45286, 45292, 45294, 45308, 45349, 45365, 45484, 45485, 45486, 45934, 46505, 46507, 46509, 46511, 46717, 46719, 46726, 46728, 46729, 46731, 46742, 46822, 46823, 46900, 47162, 47163, 47164, 47165, 47166, 47167, 47169, 47170, 47171, 47172, 47173, 47229, 47230, 47231, 47234, 47235, 47236, 47410, 47411, 47412, 47458, 47508, 47509, 47511, 47512, 47516, 47564, 47707, 47765, 47766, 47769, 47772, 47773, 47774, 47775, 47776, 47779, 47780, 49052, 49053, 49054, 49055, 49056, 49059, 49064, 50950, 50953, 50954, 50955, 50957, 50958, 50959, 50960, 50961, 50962, 50963, 50964, 52427, 52428, 52429, 52430, 52431, 52432, 52433, 52434, 52438, 52452, ...]","Nakoshi Shōji, Wig master",名越昭司,,なこししょうじ,12
Attaching puppet head and kimono to the puppet's framework.,"[11779, 11780, 11781, 11782, 11783, 11784, 11785, 11786, 11787, 11788, 11789, 11790, 11791, 11792, 11793, 11794, 11795, 11796, 11797, 11798, 11799, 11800, 11801, 11802, 11803, 11804, 11805, 11806, 11807, 11808, 11809, 11810, 11811, 11812, 11813, 11814, 11815, 11816, 11817, 11818, 11819, 11820, 11821, 11822, 11823, 11824, 11825, 11826, 11827, 11828, 11829, 11830, 11831, 11832, 11833, 11834, 11835, 11836, 11837, 11838, 11839, 11840, 11841, 11842, 11843, 11844, 11845, 11846, 11847, 11848, 11849, 44993, 44997, 45001, 45007, 45010, 45015, 45054, 45057, 45058, 45244, 45246, 45248, 45252, 45254, 45296, 45298, 45316, 45318, 45483, 45487, 45990, 45992, 45994, 46031, 46726, 46727, 46727, 46731, 46735, ...]",Puppet costuming,人形拵え,,にんぎょうごしらえ,13
nan,"[44983, 44992, 45058, 45114, 45115, 45116, 45250, 45256, 46041, 46503, 46519, 46537, 46539, 46541, 46717, 46837, 46900, 46901, 46902, 47137, 47139, 47415, 47416, 49275, 49276, 49277, 50943, 50983, 51026, 51028, 51032, 51033, 55875, 55876, 55877, 56521, 56524, 56525, 56529, 61131, 61926]","Uehara Tsuruko, Seamstress",うえはらつるこ,,うえはらつるこ,14
nan,"[44983, 44992, 45007, 45284, 45286, 45288, 45349, 45484, 45485, 45486, 45934, 46505, 46507, 46511, 46717, 46726, 46742, 46822, 46823, 47160, 47161, 47162, 47163, 47164, 47165, 47166, 47167, 47169, 47170, 47171, 47172, 47173, 47410, 47411, 47412, 47765, 47766, 47769, 47772, 47773, 47774, 47775, 47776, 47779, 47780, 49052, 49053, 49054, 49055, 49056, 49059, 49064, 50950, 50953, 50954, 50955, 50964, 50965, 52427, 52428, 52429, 52430, 52431, 52432, 52433, 52434, 52438, 52452, 52453, 52455, 52457, 52458, 52460, 52463, 52464, 52465, 52466, 52469, 52821, 52822, 52823, 52824, 52825, 52828, 52829, 52830, 52831, 52832, 52833, 52835, 52836, 52837, 52838, 55956, 55957, 55958, 55959, 55960, 55961, 55962, ...]",Wig,かづら,,かづら,15
Chanter or reciter.,"[8337, 8374, 8375, 8376, 8378, 8379, 8380, 8437, 8469, 8470, 8588, 8589, 8664, 8821, 8822, 8823, 9054, 9055, 9056, 9106, 9194, 9195, 9569, 9570, 9571, 9572, 9573, 9574, 9575, 9576, 9577, 9578, 9579, 9580, 9581, 9582, 9583, 9584, 9585, 9586, 9587, 9588, 9589, 9590, 9591, 9592, 9593, 9594, 9595, 9596, 9597, 9598, 9599, 9600, 9601, 9602, 9603, 9604, 9605, 9606, 9607, 9608, 9609, 9610, 9611, 9612, 9613, 9614, 9615, 9616, 9617, 9618, 9619, 9621, 9628, 9665, 9667, 9669, 9715, 9999, 10000, 10100, 10190, 10370, 10790, 10791, 11366, 11523, 11640, 11641, 11642, 11643, 11644, 11645, 11646, 11647, 11648, 11649, 11650, 11651, ...]",Narrator,太夫,,たゆう,16
Three stringed musical instrument.,"[8374, 8377, 8379, 8380, 8437, 8469, 8470, 8588, 8589, 8664, 8821, 8822, 8823, 9054, 9055, 9056, 9105, 9569, 9570, 9571, 9572, 9573, 9574, 9575, 9576, 9577, 9578, 9579, 9580, 9581, 9582, 9583, 9584, 9585, 9586, 9587, 9588, 9589, 9590, 9591, 9592, 9593, 9594, 9595, 9596, 9597, 9598, 9599, 9600, 9601, 9602, 9603, 9604, 9605, 9606, 9607, 9608, 9609, 9610, 9611, 9612, 9613, 9614, 9615, 9616, 9617, 9618, 9619, 9621, 9628, 9633, 9635, 9637, 9639, 9643, 9653, 9655, 9657, 9659, 9662, 9665, 9667, 9669, 9715, 9999, 10000, 10100, 10190, 10370, 11366, 11640, 11641, 11642, 11643, 11644, 11645, 11646, 11647, 11648, 11649, ...]",Shamisen player,三味線,,しゃみせん,17
nan,"[11637, 44979, 44980, 44982, 44986, 44987, 45057, 45406, 45431, 45443, 46015, 46477, 46479, 46481, 46513, 46515, 46714, 46715, 46716, 46720, 46722, 46728, 47053, 47054, 47066, 47067, 47068, 47237, 47242, 47243, 47244, 47245, 47246, 47285, 47286, 47359, 47460, 47461, 47463, 47464, 47465, 47466, 47467, 47468, 47469, 47470, 47471, 47472, 47555, 47556, 47557, 47565, 47566, 47567, 47568, 47569, 48174, 48237, 48238, 48239, 48240, 48241, 48242, 48243, 48244, 48245, 48246, 48247, 48248, 48249, 48250, 48251, 48252, 48253, 48254, 48255, 48256, 48257, 49230, 50887, 50888, 50889, 50890, 50892, 50893, 50897, 50898, 50899, 50900, 50901, 50902, 50903, 50904, 50905, 50906, 50907, 50908, 50909, 50910, 50966, ...]",Backstage,舞台裏,,ぶたいうら,18
nan,"[8295, 8386, 8388, 8391, 8392, 8393, 8394, 8395, 8396, 8397, 8402, 8409, 8426, 8427, 8428, 8429, 8768, 8769, 8784, 9196, 9197, 9268, 9340, 9341, 9342, 9343, 9344, 9346, 9347, 9348, 9368, 9371, 9373, 9376, 9377, 9499, 9502, 9504, 9505, 9506, 9523, 9524, 9536, 9541, 9542, 9547, 9552, 9627, 10274, 10275, 10276, 10283, 10284, 10293, 10295, 10297, 10301, 10302, 10303, 10311, 10312, 10313, 10314, 10315, 10316, 10317, 10320, 10321, 10322, 10323, 10324, 10326, 10329, 10331, 10332, 10333, 10334, 10335, 10336, 10337, 10339, 10341, 10344, 10345, 10346, 10347, 10353, 10354, 10357, 10359, 10361, 10362, 10363, 10364, 10365, 10366, 10367, 10368, 10369, 10835, ...]",Rehearsal,舞台稽古,Used sparingly since all the performance photographs were taken during rehearsals. Used only for photographs where director and senior performers direct or train juniors during rehearsals and/or left-arm and leg manupulators appear without hoods on stage.,ぶたいけいこ,19
nan,"[44994, 44999, 45030, 45112, 45113, 45224, 45226, 45232, 45234, 45236, 45365, 45707, 45708, 45709, 45710, 45711, 45712, 45713, 45714, 45715, 45716, 46487, 46489, 46491, 46493, 46495, 46497, 46499, 46501, 46728, 46733, 46779, 46780, 46781, 46782, 46783, 46898, 46899, 47453, 47458, 47478, 47479, 47480, 47481, 47482, 47483, 47484, 47631, 47632, 47633, 47634, 47635, 47636, 47637, 47638, 47639, 47645, 48416, 48417, 48418, 48419, 48420, 48421, 48422, 48423, 48424, 48425, 48426, 48427, 48428, 48429, 48430, 48431, 48432, 48435, 48436, 48437, 48442, 48443, 48444, 48446, 48447, 48448, 48449, 48450, 48451, 48452, 48453, 48454, 48455, 48458, 48460, 48461, 48462, 48463, 48465, 48466, 48467, 48468, 48470, ...]","Ōe Minosuke, Carver of heads",大江巳之助,,おおえみのすけ,20
A wooden panel with performer names indicating whether the performer has arrived.,"[45049, 45942, 46819, 49024, 49025, 49026, 49027, 49028, 52423, 52424, 56321]",Chakutōban,着到板あるいは到着板,,ちゃくとうばん,21
nan,"[13317, 13318, 13319, 13320, 13321, 44980, 44981, 44986, 44997, 45005, 45015, 45112, 45115, 45116, 45195, 45211, 45213, 45329, 45331, 45335, 45337, 45398, 45406, 45407, 45409, 45411, 45413, 45415, 45426, 45430, 45431, 45432, 45433, 45435, 45436, 45437, 45439, 45441, 45447, 45449, 45453, 45458, 46479, 46481, 46483, 46485, 46487, 46517, 46523, 46525, 46527, 46529, 46531, 46533, 46667, 46669, 46714, 46715, 46720, 46731, 46739, 46740, 46755, 46898, 46901, 46902, 46913, 46914, 47048, 47050, 47053, 47055, 47056, 47057, 47058, 47059, 47060, 47061, 47062, 47063, 47064, 47066, 47067, 47068, 47078, 47079, 47080, 47081, 47082, 47083, 47084, 47085, 47086, 47238, 47239, 47240, 47247, 47248, 47565, 47566, ...]","Wing, from",舞台そでからの写真,,ぶたいそでからのしゃしん,22
