id,dates,place,label_eng,image_id,performance_id,play_id
51,1975/02/01-1975/02/15,National Theatre of Japan,February 1975,"[45005, 45015, 45018, 45430, 45431, 45432, 45433, 45435, 45436, 45437, 45439, 45441, 45443, 45453, 45458, 45505, 45509, 45513, 45548, 45550, 45551, 45553, 45555, 45573, 45683, 46739, 46740, 46755, 46756, 46760, 46761, 47719, 47720, 47721, 47722, 47723, 47724, 47725, 47726, 47727, 47728, 47729, 47730, 47731, 47732, 47733, 47734, 47735, 47736, 47737, 47738, 47739, 47740, 47741, 47742, 47743, 47744, 47745, 47746, 47747, 47748, 47749, 48000, 48001, 48002, 48003, 48004, 48005, 48006, 48007, 48008, 48009, 48010, 48011, 48012, 48013, 48014, 48015, 48016, 48017, 48018, 48019, 48020, 48021, 48022, 48023, 48024, 48062, 48063, 48064, 48065, 48066, 48067, 48068, 48069, 48070, 48071, 48072, 48073, 48074, ...]","[183, 184]",72
52,1975/04/18-1975/05/01,Asahiza,April 1975,[nan],"[185, 186, 187, 188, 189, 190]",80
53,1975/05/10-1975/05/24,National Theatre of Japan,May 1975,"[45016, 45021, 45023, 45459, 45497, 45499, 45501, 45573, 45578, 45597, 45622, 45624, 45626, 45628, 45630, 45632, 45634, 45646, 45648, 45650, 45663, 45665, 45677, 46757, 46766, 46767, 46768, 46771, 46772, 48025, 48026, 48027, 48028, 48029, 48030, 48031, 48032, 48033, 48034, 48035, 48036, 48037, 48038, 48039, 48040, 48041, 48042, 48043, 48044, 48045, 48046, 48047, 48048, 48049, 48050, 48051, 48052, 48053, 48054, 48055, 48056, 48057, 48058, 48059, 48060, 48061, 48154, 48155, 48156, 48157, 48158, 48159, 48160, 48161, 48162, 48163, 48164, 48165, 48166, 48167, 48168, 48169, 48170, 48171, 48177, 48208, 48209, 48210, 48211, 48212, 48213, 48214, 48215, 48216, 48217, 48218, 48219, 48220, 48221, 48222, ...]","[191, 192, 193]",55
54,1975/07/13-1975/07/27,Asahiza,July 1975,[nan],"[194, 195, 196, 197, 198]",1
55,1975/10/12-1975/10/26,Asahiza,October 1975,[nan],"[200, 201, 202, 203, 204]",27
56,1975/12/13-1975/12/21,National Theatre of Japan,December 1975,"[45008, 45536, 45538, 45540, 45542, 45544, 45681, 46744, 47787, 47788, 47789, 47790, 47791, 47792, 47793, 47794, 47795, 47796, 47797, 47798, 47799, 47800, 47801, 47802, 47803, 47804, 47805, 47806, 47807, 47808, 47809, 47810, 47811, 47812, 52641, 52642, 52643, 52644, 52645, 52646, 52647, 52648, 52649, 52675, 52676, 52677, 52678, 53596, 53597, 53598, 53599, 53600, 53601, 53602, 53603, 53604, 53605, 53606, 53607, 53608, 53609, 53610, 53611, 53612, 53613, 53614, 53615, 53616, 53617, 53618, 53619, 53620, 53621, 53622, 53623, 53624, 53625, 53626, 53627, 53628, 53629, 53630, 53631, 53632, 53633, 53634, 53635, 53636, 53637, 53638, 53639, 53640, 53641, 53642, 53643, 53644, 53645, 53646, 53647, 53648, ...]",[205],27
57,1976/01/02-1976/01/25,Asahiza,January 1976,[nan],"[206, 207, 208, 209]",100
58,1976/03/19-1976/03/28,National Theatre of Japan,March 1976,"[45012, 45012, 45012, 45147, 45149, 45530, 45577, 45579, 45607, 45609, 45611, 45613, 45665, 46750, 46751, 47893, 47894, 47895, 47896, 47897, 47898, 47899, 47900, 47901, 47902, 47903, 47904, 47905, 47906, 47907, 47908, 47909, 47910, 47911, 47912, 47913, 47914, 47915, 47916, 47917, 47918, 47919, 47920, 47921, 47922, 47923, 47924, 47926, 47928, 47929, 47930, 53713, 53714, 53715, 53716, 53717, 53718, 53719, 53720, 53721, 53722, 53723, 53724, 53725, 53726, 53727, 53728, 53729, 53730, 53731, 53732, 53733, 53734, 53735, 53736, 53737, 53738, 53739, 53740, 53741, 53742, 53743, 53744, 53745, 53746, 53747, 53748, 53749, 53750, 53751, 53752, 53753, 53754, 53755, 53756, 53757, 53758, 53759, 53760, 53761, ...]","[210, 211, 212, 213]",73
59,1976/04/15-1976/04/29,Asahiza,April 1976,[nan],"[214, 215, 216, 217]",68
60,1976/07/09-1976/07/25,Asahiza,July 1976,[nan],"[222, 223, 224, 225]",104
62,1976/09/26-1976/10/04,National Theatre of Japan,September 1976 Kōkōsei no tame no Bunraku Kyōshitsu,"[54890, 54891, 54892, 54893, 54894, 54895, 54896, 54897, 54898, 54899, 54900, 54901, 54902, 54903, 54904, 54905, 54906, 54907, 54908, 54909, 54910, 54911, 54912, 54913, 54914, 54915, 54916, 54917, 54918, 54919, 54920, 54921, 54922, 54923, 54924, 54925, 54926, 54927, 54928, 54929, 54930, 54931, 54932, 54933, 54934, 54935, 54936, 54937, 54938, 54939, 54940, 54941, 54942, 54943, 54944, 54945, 54946, 54947, 54948, 54949, 54950, 54951, 54952, 54953, 54954, 54955, 54956, 54957, 54958, 54959, 54960, 54961, 54962, 54963, 54964, 54965, 54966, 54967, 54968, 54969, 54970, 54971, 54972, 54973, 54974, 54975, 54976, 54977, 54978, 54979, 54980, 54981, 64562]",[234],35
63,1976/11/12-1976/11/26,Asahiza,November 1976,[nan],"[230, 231, 232, 233]",110
64,1976/12/04-1976/12/18,National Theatre of Japan,December 1976,"[54293, 54294, 54295, 54296, 54297, 54298, 54299, 54300, 54301, 54302, 54303, 54304, 54305, 54306, 54307, 54308, 54309, 54310, 54311, 54312, 54313, 54314, 54315, 54316, 54317, 54318, 54319, 54320, 54321, 54322, 54323, 54324, 54325, 54326, 54327, 54328, 54329, 54330, 54331, 54332, 54333, 54334, 54335, 54336, 54337, 54338, 54339, 54340, 54341, 54342, 54343, 54344, 54345, 54346, 54347, 54348, 54349, 54350, 54351, 54352, 54353, 54354, 54355, 54356, 54357, 54358, 54359, 54360, 54361, 54362, 54363, 54364, 54365, 54366, 54367, 54368, 54369, 54370, 54371, 54372, 54373, 54374, 54375, 54376, 54377, 54378, 54379, 54380, 54381, 54382, 54383, 54384, 54385, 54386, 54387, 54388, 54389, 54390, 54391, 54392, ...]",[235],63
65,1977/01/02-1977/01/23,Asahiza,January 1977,[nan],"[236, 237, 238, 239, 240]",5
66,1977/02/05-1977/02/19,National Theatre of Japan,February 1977,"[45006, 45532, 45534, 45546, 45575, 45575, 46741, 47750, 47751, 47752, 47753, 47754, 47755, 47756, 47757, 47758, 47759, 47760, 47761, 47762, 47763, 47764, 52415, 52416, 52417, 52418, 52419, 52420, 52421, 52422, 52438, 52439, 52440, 52441, 52442, 52443, 52444, 52445, 52446, 52447, 54982, 54983, 54984, 54985, 54986, 54987, 54988, 54989, 54990, 54991, 54992, 54993, 54994, 54995, 54996, 54997, 54998, 54999, 55000, 55001, 55002, 55003, 55004, 55005, 55006, 55007, 55008, 55009, 55010, 55011, 55012, 55013, 55014, 55015, 55016, 55017, 55018, 55019, 55020, 55021, 55022, 55023, 55024, 55025, 55026, 55027, 55028, 55029, 55030, 55031, 55032, 55033, 55034, 55035, 55036, 55037, 55038, 55039, 55040, 55041, ...]","[241, 242, 243, 244, 245]",29
67,1977/04/09-1977/04/24,Asahiza,April 1977,"[55465, 55466, 55467, 55468, 55469, 55470, 55471, 55472, 55473, 55474, 55475, 55476, 55477, 55478, 55479, 55480, 55481, 55482, 55483, 55484, 55485, 55486, 55487]",[247],79
68,1977/05/14-1977/05/28,National Theatre of Japan,May 1977,"[45020, 45022, 45659, 45660, 45694, 45696, 45698, 45700, 45701, 45702, 45704, 46764, 46765, 46769, 46770, 48144, 48145, 48146, 48147, 48148, 48149, 48178, 48179, 48180, 48181, 48182, 48183, 48184, 48185, 48186, 48187, 48188, 48189, 48190, 48191, 48192, 48193, 48194, 48195, 48196, 48197, 48198, 48199, 48200, 48201, 48202, 48203, 48204, 48205, 48206, 48207, 52248, 52502, 52503, 52504, 52505, 52506, 52507, 52508, 52509, 52510, 52511, 52512, 52513, 52514, 52515, 52516, 52517, 52518, 52519, 52520, 52521, 52522, 52523, 52524, 52525, 52526, 52527, 52528, 52529, 52530, 52531, 52532, 52533, 52534, 52535, 52536, 52537, 52538, 52539, 52548, 52549, 52550, 55215, 55216, 55217, 55218, 55219, 55220, 55221, ...]",[248],79
69,1977/06/02-1977/06/05,Others,June 1977,[nan],"[249, 250, 251, 252]",16
70,1977/07/09-1977/07/24,Asahiza,July 1977 Asahiza,"[44976, 44977, 44978, 44980, 44984, 44985, 44991, 44996, 45130, 45132, 45133, 45135, 45137, 45139, 45141, 45142, 45143, 45144, 45145, 45164, 45166, 45168, 45169, 45170, 45172, 45174, 45176, 45178, 45180, 45183, 45184, 45185, 45187, 45188, 45189, 45190, 45193, 45195, 45197, 45199, 45201, 45203, 45205, 45207, 45208, 45209, 45211, 45213, 45319, 45320, 45321, 45322, 45333, 45335, 45337, 45341, 45367, 46710, 46711, 46712, 46714, 46718, 46719, 46725, 46730, 46940, 46941, 46942, 46943, 46944, 46945, 46946, 46947, 46948, 46949, 46950, 46951, 46952, 46953, 46954, 46955, 46956, 46957, 46958, 46959, 46960, 46961, 46962, 46963, 46964, 46965, 46966, 46967, 46968, 46969, 46970, 46971, 46972, 46973, 46974, ...]","[253, 254, 255, 256]",26
71,1977/08/05-1977/08/07,Others,August 1977 Hokkaido Tour,"[44997, 44998, 44999, 45000, 45152, 45154, 45156, 45158, 45160, 45161, 45162, 46731, 46732, 46733, 46734, 47565, 47566, 47567, 47568, 47569, 47570, 47571, 47572, 47573, 47574, 47584, 47585, 47586, 47587, 47588, 47589, 47590, 47591, 47592, 47593, 47594, 47595, 47596, 47597, 47598, 47599, 47600, 47601, 47602, 47603, 47604, 47605, 47606, 47607, 47608, 47609, 47610, 47611, 47612, 47613, 47614, 47615, 47646, 47647, 47648, 47649, 47650, 47651, 47652, 47653, 47654, 47655, 47656, 47657, 47658, 47659, 47660, 47661, 47662, 47663, 47664, 47665, 47666, 47667, 47668, 47669, 47670, 47671, 47672, 47673, 47674, 47675, 47676, 56418, 56419, 56423, 56670, 56671, 56672, 56673, 56674, 56675, 56676, 56677, 56678, ...]","[257, 258, 259]",129
72,1977/08/18-1977/08/29,Others,August 1977 Tour,[nan],[260],130
73,1977/09/10-1977/09/24,National Theatre of Japan,September 1977,"[45041, 45042, 45043, 45044, 45045, 45046, 45047, 45048, 45049, 45191, 45461, 45463, 45465, 45467, 45469, 45814, 45816, 45817, 45818, 45820, 45822, 45824, 45826, 45828, 45830, 45832, 45834, 45836, 45838, 45840, 45842, 45844, 45846, 45848, 45850, 45852, 45853, 45854, 45856, 45858, 45860, 45862, 45864, 45866, 45867, 45870, 45872, 45874, 45876, 45878, 45880, 45882, 45884, 45886, 45888, 45890, 45892, 45894, 45896, 45898, 45900, 45902, 45904, 45906, 45908, 45910, 45912, 45914, 45916, 45918, 45920, 45921, 45922, 45923, 46794, 46795, 46796, 46797, 46798, 46799, 46800, 46801, 46802, 46803, 46804, 46805, 46806, 46807, 46808, 46809, 46810, 46811, 46812, 46813, 46814, 46815, 46816, 46817, 46818, 46819, ...]","[261, 262, 263]",98
74,1977/10/15-1977/10/30,Asahiza,October 1977,[nan],"[264, 265, 266, 267]",18
75,1977/12/11-1977/12/21,National Theatre of Japan,December 1977,"[45051, 45691, 46826, 49098, 49099, 49100, 49101, 57024, 57025, 57026, 57027, 57028, 57029, 57030, 57031, 57032, 57033, 57034, 57035, 57036, 57037, 57038, 57039, 57040, 57041, 57042, 57043, 57044, 57045, 57046, 57047, 57048, 57049, 57050, 57051, 57052, 57053, 57054, 57055, 57056, 57057, 57058, 57059, 57060, 57061, 57062, 57063, 57064, 57065, 57066, 57067, 57068, 57069, 57070, 57071, 57072, 57073, 57074, 57075, 57076, 57077, 57078, 57079, 57080, 57081, 57082, 57083, 57084, 57085, 57086, 57087, 57088, 57089, 57090, 57091, 57092, 57093, 57094, 57095, 57096, 57097, 57098, 57099, 57100, 57101, 57102, 57103, 57104, 57105, 57106, 57107, 57108, 57109, 57110, 57111, 57112, 57113, 57114, 57115, 57116, ...]","[268, 269, 270]",45
76,1978/01/02-1978/01/23,Asahiza,January 1978,"[57330, 57331, 57332, 57333, 57334, 57335, 57336, 57337, 57338, 57339, 57340, 57341, 57342, 57343, 57344, 57345, 57346, 57347, 57348, 57349, 57350, 57351, 57352, 57353, 57354, 57355, 57356, 57357, 57358, 57359, 57360, 57361, 57362, 57363, 57364, 57365, 57366, 57367, 57368, 57369, 57370, 57371, 57372, 57373, 57374, 57375, 57376, 57377, 57378, 57379, 57380, 57381, 57382, 57383, 57384, 57385, 57386, 57387, 57388, 57389, 57390, 57391, 57392, 57393, 57394, 57395, 57396, 57397, 57398, 57399, 57400, 57401, 57402, 57403, 57404, 57405, 57406, 57407, 57408, 57409, 57410, 57411, 57412, 57413, 57414, 57415, 57416, 57417, 57418, 57419, 57420, 57421, 57422, 57423, 57424, 57425, 57426, 57427, 57428, 57429, ...]","[271, 272, 273, 274, 275]",40
77,1978/02/11-1978/02/25,National Theatre of Japan,February 1978,"[45052, 45053, 45599, 45685, 45687, 45689, 45959, 45961, 45963, 45965, 45967, 45969, 45971, 45973, 45976, 45978, 45980, 45982, 45984, 45986, 46827, 46828, 46829, 46830, 49102, 49103, 49104, 49105, 49106, 49107, 49108, 49109, 49110, 49111, 49112, 49113, 49114, 49115, 49116, 49117, 49118, 49119, 49120, 49121, 49122, 49123, 49124, 49125, 49126, 49127, 49128, 49129, 49130, 49131, 49132, 49133, 49134, 49135, 49136, 49137, 49138, 49139, 49140, 49141, 49142, 49143, 49144, 49145, 49146, 49147, 49148, 49149, 49150, 49151, 49152, 49153, 49154, 49155, 49156, 49157, 49158, 49159, 49160, 49161, 49162, 49163, 49164, 49166, 49167, 49168, 49169, 49170, 49171, 49172, 49173, 49174, 49175, 49176, 49177, 49178, ...]","[276, 277, 278, 279, 280]",73
78,1978/04/09-1978/04/25,Asahiza,April 1978,"[45057, 46013, 46015, 46017, 46018, 46019, 46021, 46023, 46025, 46027, 46834, 49241, 49242, 49243, 49244, 49245, 49246, 49247, 49250, 49251, 49252, 49253, 49254]",[281],62
