play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
168,Kōjō (Yoshida Kotama aratame Godai Yoshida Bungo shūmei hirō),Kojo (Yoshida Kotama aratame Godai Yoshida Bungo shumei hiro),口上(吉田小玉改め五代吉田文吾襲名披露),こうじょうよしだこだまあらためごだいよしだぶんごしゅうめいひろう,"Announcement on the assumption of his new name, Bungo Yoshida V, by Kotama Yoshida","Announcement on the assumption of his new name, Bungo Yoshida V, by Kotama Yoshida",,Bunraku February 1982 Performance Program
169,"Kōjō (Sansei Takemoto Aioidayū intai, Yonsei Takemoto Aioidayū shūmei hirō)","Kojo (Sansei Takemoto Aioidayu intai, Yonsei Takemoto Aioidayu shumei hiro)",口上(三世竹本相生大夫引退・四世竹本相生大夫襲名披露),こうじょうさんせいたけもとあいおいだゆういんたいよんせいたけもとあいおいだゆうしゅうめいひろう,"Announcement of Takemoto Aioidayū III's retirement and the assumption of his new name, Takemoto Aioidayū IV', by Aikodayū Takemoto","Announcement of Takemoto Aioidayū III's retirement and the assumption of his new name, Takemoto Aioidayū IV', by Aikodayū Takemoto",,Bunraku November 1971 Performance Program
170,Kōjō (Mojitayū aratame Nanasei Takemoto Sumitaū shūmei hirō),Kojo (Mojitayu aratame Nanasei Takemoto Sumitayu shumei hiro),口上(文字大夫改め七世竹本住大夫襲名披露),こうじょうもじたゆうあらためななせいたけもとすみたゆうしゅうめいひろう,"Announcement of the assumption of his new stage name, Sumitayū Takemoto VII, by Mojitayuū Takemoto","Announcement of the assumption of his new stage name, Sumitayu Takemoto VII, by Mojitayu Takemoto",,Bunraku April 1985 Performance Program
171,Kōjō (Nozawa Katsuhei aratame Sandai Nozawa Kizaemon shūmei hirō),Kojo (Nozawa Katsuhei aratame Sandai Nozawa Kizaemon shumei hiro),口上(野澤勝平改め三代野澤喜左衛門襲名披露),こうじょうのざわかつへいあらためさんだいのざわきざえもんしゅうめいひろう,"Announcement of the assumption of his new name, Kizaemon Nozawa III, by Katsuhei Nozawa","Announcement of the assumption of his new name, Kizaemon Nozawa III, by Katsuhei Nozawa",,Bunraku May 1987 Performance Program
172,Kōjō (Kiritake Monya aratame Sansei Yoshida Tamamatsu shūmei hirō),Kojo (Kiritake Monya aratame Sansei Yoshida Tamamatsu shumei hiro),口上(桐竹紋弥改め三世吉田玉松襲名披露),こうじょうきりたけもんやあらためさんせいよしだたままつしゅうめいひろう,Announcement on the change of puppeteer Monya Kiritake's name to Tamamatsu Yoshida III,Announcement on the change of puppeteer Monya Kiritake's name to Tamamatsu Yoshida III,,Bunraku February 1973 Performance Program
173,Ishi no hana,Ishi no hana,石の花,いしのはな,Stone Flower,Stone Flower,1990,Bunraku August 1990 Performance Program
174,Nagamachi onna no harakiri,Nagamachi onna no harakiri,長町女腹切,ながまちおんなのはらきり,The Woman's Harakiri at Nagamachi,"Woman's Harakiri at Nagamachi, The",1712,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1994 Performance Program"
175,Sasayaki no take,Sasayaki no take,ささやきの竹,ささやきのたけ,Sasayaki no take,Sasayaki no Take (Whispering Bamboo),[n.d.],English title not available in any publications. Staged at July 1996 performance. Listed in Bunka dejitaru raiburarii; No English title available
176,Utsubozaru,Utsubozaru,うつぼ猿,うつぼざる,The Monkey Dance,"Monkey Dance, The",1705 or 1706,"Bunraku February 1986, November 1989 Performance Programs"
177,Nichiren Shōnin minori no umi,Nichiren Shonin minori no umi,日蓮聖人御法海,にちれんしょうにんみのりのうみ,The Benevolence of Saint Nichiren,"Benevolence of Saint Nichiren, The",1751,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku July 2001 Performance Program"
