play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
33,Keisei Awa no naruto,Keisei Awa no naruto,傾城阿波の鳴門,けいせいあわのなると,The Infant Pilgrim,"Infant Pilgrim, The",1768,"The Pitiful EncounterKokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 146, December 1977; June 1985 Program"
34,Keisei hangonkō,Keisei hangonko,傾城反魂香,けいせいはんごんこう,The Stuttering Painter,"Stuttering Painter, The",1708,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980; Bunraku April 1988, May 1980 Performance Programs; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
35,Keisei koibikyaku,Keisei koibikyaku,傾城恋飛脚,けいせいこいびきゃく,The Amorous Courier,"Amorous Courier, The",1773,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 158; December 1978' Bunraku January 1989 Performance Program"
36,Kiichi Hōgen sanryaku no maki,Kiichi Hogen sanryaku no maki,鬼一法眼三略巻,きいちほうげんさんりゃくのまき,Kiichi's Book of Strategy,Kiichi's Book of Strategy,1731,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol.  168, September 1979; Bunraku November 1991 Performance Program"
37,Koimusume mukashi hachijō,Koimusume mukashi hachijo,恋娘昔八丈,こいむすめむかしはちじょう,The Love-Inspired Murder,"Love-Inspired Murder, The",1775,"Bunraku September 1989, January 1990, November 1970 Performance Programs; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
38,Koinyōbō somewake tazuna,Koinyobo somewake tazuna,恋女房染分手綱,こいにょうぼうそめわけたづな,The Two-Colored Reins,"Two-Colored Reins, The",1751,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku February 1972 Performance Program"
39,Kokaji,Kokaji,小鍛冶,こかじ,Kokaji the Swordsmith,Kokaji the Swordsmith,1939 or 1941,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1977, July 1988 Performance Programs"
40,Kokusen'ya kassen,Kokusen'ya kassen,国性爺合戦,こくせんやかっせん,The Battle of Coxinga,"Battle of Coxinga, The",1715,"Four Major Plays of Chikamatsu, translated by Donald Keene (New York: Columbia University Press, 1961); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1980 Performance Program"
41,Komochi yamanba,Komochi yamanba,嫗山姥,こもちやまんば,The Pregnant Mountain Ogress (Heroine),"Pregnant Mountain Ogress (Heroine), The",1712,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 93, May 1973; Bunraku February 1997 Performance Program"
42,Kotobuki hashiradate manzai,Kotobuki hashiradate manzai,寿柱立万歳,ことぶきはしらだてまんざい,The Celebration of Housing Starts,"Celebration of Housing Starts, The",1915,"Kokuritsu Bunraku Gekijō jōen shiryōshū, edited by Kokuritsu Bunraku Gekijō Chōsayōseika, vol. 8, April 1985; April 1998, January 1978, April 1985 Performance Programs"
44,Mandagaike monogatari,Mandagaike monogatari,まんだが池物語,まんだがいけものがたり,The Story of Manda Ponds,"Story of Manda Ponds, The",1995,Bunraku August 1995 Performance Program
45,Meiboku sendaihagi,Meiboku sendaihagi,伽羅先代萩,めいぼくせんだいはぎ,The Trouble in the Date Household,"Trouble in the Date Household, The",1785,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 146, December 1977; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku January 1996, December 1977 Performance Programs"
46,Men uri,Men uri,面売り,めんうり,The Mask Peddler,"Mask Peddler, The",1944,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 164, May 1979; Bunraku December 1993 Performance Program"
47,Momijigari,Momijigari,紅葉狩,もみじがり,The Maple Viewing Party,"Maple Viewing Party, The",1939,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 194, September 1981; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1981 Performance Program"
48,Musume Kagekiyo Yashima nikki,Musume Kagekiyo Yashima nikki,嬢景清八嶋日記,むすめかげきよやしまにっき,Kagekiyo and His Daughter,Kagekiyo and His Daughter,1764,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973);  Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, Bunraku September 1983, May 1975, January 1990 Performance Programs"
49,Narihibiku Ataka noshinseki,Narihibiku Ataka no shinseki,鳴響安宅新関,なりひびくあたかのしんせき,The New Barrier of Ataka,"New Barrier of Ataka, The",1895,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku December 1984 Performance Program"
50,Renjishi,Renjishi,連獅子,れんじし,The Lion Dance,"Lion Dance, The",1936,Bunraku April 1988 Performance Program
51,Saiyūki,Saiyuki,西遊記,さいゆうき,Pilgrimage to the West,Pilgrimage to the West,1816,"Bunraku August 1988 Performance Program; Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 194, September 1981 Program"
52,Sekitori senryō nobori,Sekitori senryo nobori,関取千両幟,せきとりせんりょうのぼり,The Sumo Wrestler's Banner,"Sumo Wrestler's Banner, The",1767,Bunraku July 1986 Performance Program
53,Shichifukujin takara no irifune,Shichifukujin takara no irifune,七福神宝の入舩,しちふくじんたからのいりふね,The Seven Gods of Fortune,"Seven Gods of Fortune, The",[n.d.],Bunraku January 1986 Performance Program
54,Shinjū kasaneizutsu,Shinju kasaneizutsu,心中重井筒,しんじゅうかさねいづつ,The Love Suicide of Tokubei and Ofusa,"Love Suicide of Tokubei and Ofusa, The",1707 or 1708,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 161, February 1979; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1979, February 1997 Performance Programs"
55,Shinrei Yaguchi no watashi,Shinrei Yaguchi no watashi,神霊矢口渡,しんれいやぐちのわたし,The Yaguchi Ferry,"Yaguchi Ferry, The",1770,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku May 1975 Performance Program"
56,Shin usuyuki monogatari,Shin usuyuki monogatari,新薄雪物語,しんうすゆきものがたり,The New Usuyuki Story,"New Usuyuki Story, The",1741,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku September 1980 Performance Program"
57,Shōutsushi asagao banashi,Shoutsushi asagaobanashi,生写朝顔話,しょううつしあさがおばなし,The Story of the Morning Glory,"Story of the Morning Glory, The",1832,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku May 1978 Performance Program"
58,Tamamo no mae asahi no tamoto,Tamamonomae asahi no tamoto,玉藻前曦袂,たまものまえあさひのたもと,The Nine-Tailed Fox,"Nine-Tailed Fox, The",1806,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 206, September 1982; Bunraku September 1982 Performance Program"
59,Tōkai dōchu hizakurige,Tokai dochu hizakurige,東海道中膝栗毛,とうかいどうちゅうひざくりげ,The Shank's Mare along the Tokaido Highway,"Shank's Mare along the Tokaido Highway, The",[ca. 1854],"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku July 1988 Performance Program"
60,Tsubosaka Kannon reigenki,Tsubosaka Kannon reigenki,壺坂観音霊験記,つぼさかかんのんれいげんき,The Miracle at the Tsubosaka Kannon Temple,"Miracle at the Tsubosaka Kannon Temple, The",1879,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku January 1989 Performance Program; Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 246, December 1985; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Traditional Japanese Theater: An Anthology of Plays, edited by Karen Brazell (New York: Columbia University Press, 1998)"
61,Yari no Gonza kasane katabira,Yari no Gonza kasane katabira,鑓の権三重帷子,やりのごんざかさねかたびら,Gonza the Lancer,Gonza the Lancer,1717,"Major Plays of Chikamatsu, translated by Donald Keene, (New York: Columbia University Press, 1961); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1983 Performance Program"
62,Yoshitsune senbonzakura,Yoshitsune senbonzakura,義経千本桜,よしつねせんぼんざくら,Yoshitsune and a Thousand Cherry Trees,Yoshitsune and a Thousand Cherry Trees,1747,"Traditional Japanese Theater: An Anthology of Plays, edited by Karen Brazell (New York: Columbia University Press, 1998); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 191, May 1981; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku May 1981 Performance Program"
63,Kanadehon Chūshingura,Kanadehon Chushingura,仮名手本忠臣蔵,かなでほんちゅうしんぐら,The League of the 47 Ronin,"League of the 47 Ronin, The",1748,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 197, December 1981; Bunraku December 1976, January 1985 Performance Programs"
64,Hanakurabe shiki no kotobuki,Hanakurabe shiki no kotobuki,花競四季寿,はなくらべしきのことぶき,The Dances of the Four Seasons,"Dances of the Four Seasons, The",1809,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 154, August 1978; Bunraku January 1994 Performance Program"
65,Hibariyama himesute no matsu,Hibariyama himesute no matsu,ひばり山(鶊山)姫捨松,ひばりやまひめすてのまつ,The Pines on Mount Hibari,"Pines on Mount Hibari,, The",1740,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku January 1992 Performance Program"
66,Goshozakura horikawa youchi,Goshozakura horikawa youchi,御所桜堀川夜討,ごしょざくらほりかわようち,The Cherry Trees of the Imperial Palace,"Cherry Trees of the Imperial Palace, The",1737,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Bunraku Gekijō jōen shiryōshū, edited by Kokuritsu Bunraku Gekijō Chōsayōseika, vol. 8, April 1985; Bunraku April 1985 Performance Program"
67,Zōho Ōeyama,Zoho Oeyama,増補大江山,ぞうほおおえやま,The Ogress of Mt. Oe,"Ogress of Mt. Oe, The",1900,"Bunraku June 1985 Performance Program; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973)"
68,Rōbensugi no yurai,Robensugi no yurai,良弁杉由来,ろうべんすぎのゆらい,The Story of Priest Roben,"Story of Priest Roben, The",1887,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 35, May 1969; Bunraku January 1998 Performance Program"
70,Tsuri onna,Tsuri onna,釣女,つりおんな,Fishing for Wives,Fishing for Wives,1936,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku January 1985 Performance Program"
71,Natsumatsuri Naniwa kagami,Natsumatsuri Naniwa kagami,夏祭浪花鑑,なつまつりなにわかがみ,The Summer Festival at Naniwa,"Summer Festival at Naniwa, The",1745,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); July 1985 Program"
72,Ichinotani futaba gunki,Ichinotani futaba gunki,一谷嫩軍記,いちのたにふたばぐんき,The Battle of Ichinotani,"Battle of Ichinotani, The",1751,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 164, May 1979; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1975 Performance Program; Traditional Japanese Theater: An Anthology of Plays, edited by Karen Brazell (New York: Columbia University Press, 1998)"
73,Sugawara denju tenarai kagami,Sugawara denju tenarai kagami,菅原伝授手習鑑,すがわらでんじゅてならいかがみ,Sugawara's Secrets of Calligraphy,Sugawara's Secrets of Calligraphy,1746,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 149, February 1978; Bunraku May 1972 Program; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973)"
74,Ne mo saeru haru no usuzuki,Ne mo saeru haru no usuzuki,音冴春臼月,ねもさえるはるのうすづき,The Dumpling Peddlers,"Dumpling Peddlers, The",1879,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, September 1983; Bunraku  November 1974 Performance Program"
75,Sesshū Gappō ga Tsuji,Sesshu Gappo ga Tsuji,摂州合邦辻,せっしゅうがっぽうがつじ,The Crossroads of Gappo,"Crossroads of Gappo, The",1773,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 164, May 1979; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1980 Performance Program"
76,Daikyōji mukashigoyomi,Daikyoji mukashigoyomi,大経師昔暦,だいきょうじむかしごよみ,The Ancient Calendar,"Ancient Calendar, The",1715,"Bunraku February 1983 Performance Program (and all other 3 programs); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
77,Sanjūsangendō munagi no yurai,Sanjusangendo munagi no yurai,三十三間堂棟由来,さんじゅうさんげんどうむなぎのゆらい,The Ridge Pole of the Sanjusangendo Temple,"Ridge Pole of the Sanjusangendo Temple, The",1760,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 242, August 1985; February 1977 Program"
78,Hikosan gongen chikai no sukedachi,Hikosan gongen chikai no sukedachi,彦山権現誓助剣,ひこさんごんげんちかいのすけだち,The Vow of Rokusuke,"Vow of Rokusuke, The",1786,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 428, December 2000; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1975 Performance Program"
79,Imoseyama onna teikin,Imoseyama onna teikin,妹背山婦女庭訓,いもせやまおんなていきん,The Teachings for Women,"Teachings for Women, The",1771,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 255, August 1986; Bunraku April 1986 Performance Program"
80,Shinpan utazaimon,Shinpan utazaimon,新版歌祭文,しんぱんうたざいもん,The Love of Osome and Hisamatsu,"Love of Osome and Hisamatsu, The",1780,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); January 1993 Program; February 1971 Program"
81,Suma no miyako genpei tsutsuji,Suma no miyako genpei tsutsuji,須磨都源平躑躅,すまのみやこげんぺいつつじ,Kumagai at the Fan Shop,Kumagai at the Fan Shop,1730,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku May 1976 Performance Program"
82,Hadesugata onna maiginu,Hadesugata onna maiginu,艶容女舞衣,はですがたおんなまいぎぬ,A Tragic Love Triangle,"Tragic Love Triangle, The",1772,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976);  Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, Bunraku September 1983, January 1987 Performance Programs"
83,Dannoura kabuto gunki,Dannoura kabuto gunki,壇浦兜軍記,だんのうらかぶとぐんき,The Battle of Dannoura,"Battle of Dannoura, The",1732,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku April 1985 Performance Program"
85,Goban taiheiki,Goban taiheiki,"碁盤太平記
碁盤太平記",ごばんたいへいき,The Go Game Strategy,"Go Game Strategy, The",1706,Bunraku February 1980 Performance Program
86,Onshū no kanata ni,Onshu no kanata ni,恩讐の彼方に,おんしゅうのかなたに,More Worthy than Revenge,More Wothy than Revenge,1939,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku November 1964 Yukahon; Kikuchi, Kan, Beyond the Pale of Vengeance, translated by Teru Kikuchi (Kyoto : Karin Bunko, 1962)"
87,Kuruwa bunshō,Kuruwa bunsho,曲輪ぶんしょう,くるわぶんしょう,The Romance in the Gay Quarters,"Romance in the Gay Quarters, The",1794,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kabuki tōjō jinbutsu jiten (Tokyo: Hakusuisha, 2006), p. 687; January 1990 Program"
88,Mojo zakura yuki no miyashiro,Mojo zakura yuki no miyashiro,盲杖桜雪社,もうじょうざくらゆきのみやしろ,The Three Blind Masseurs,"Three Blind Masseurs, The",1884,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1968, October 1977 Performance Programs"
89,Hibariyama koseki no matsu,Hibariyama koseki no matsu,ひばり山古跡松,ひばりやまこせきのまつ,The Pines on Mount Hibari,"Pines on Mount Hibari, The",1797,Bunraku February 1968 Performance Program
90,Ōmi Genji senjin yakata,Omi Genji senjin yakata,近江源氏先陣館,おうみげんじせんじんやかた,The Battle of Sakamoto Castle,"Battle of Sakamoto Castle, The",1769,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 215, May 1983; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku May 1983 Performance Program"
91,Michiyuki hatsune no tabi,Michiyuki hatsune no tabi,道行初音旅,みちゆきはつせのたび,The Travel on Mt. Yoshino,"Travel on Mt. Yoshino, The",1747,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 41, September 1969; Bunraku May 1981 Performance Program"
92,Sakuratsuba urami no samezaya,Sakuratsuba urami no samezaya,桜鍔恨鮫鞘,さくらつばうらみのさめざや,The Inauspicious Sword,"Inauspicious Sword, The",1773,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku November 1971, November 1993 Performance Programs"
93,Genpei Nunobiki no taki,Genpei Nunobiki no taki,源平布引滝,げんぺいぬのびきのたき,The Nunobiki Waterfall,"Nunobiki Waterfall, The",1749,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 194, September 1981; Bunraku October 1974 Performance Program"
94,Katakiuchi tsuzure no nishiki,Katakiuchi tsuzure no nishiki,敵討襤褸錦敵討襤褸錦,かたきうちつずれのにしき,The Vendetta by a Samurai in Rags,"Vendetta by a Samurai in Rags, The",1736,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 310, February 1991; Bunraku February 1991 Performance Program"
95,Kusunoki mukashibanashi,Kusunoki mukashibanashi,楠昔噺,くすのきむかしばなし,The Old Tale of Kusunoki,"Old Tale of Kusunoki, The",1746,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 93, May 1973; Bunraku May 1990 Performance Program"
96,Sannin katawa,Sannin katawa,三人片輪,さんにんかたわ,The Three Oddities,"Three Oddities, The",1937,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1972 Performance Program"
97,Koibikyaku Yamato ōrai,Koibikyaku Yamato orai,恋飛脚大和往来,こいびきゃくやまとおうらい,The Amorous Courier on the Yamato Highway,"Amorous Courier on the Yamato Highway, The",1773,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku October 1971 Performance Program"
98,Zōho chūshingura,Zoho chushingura,増補忠臣蔵,ぞうほちゅうしんぐら,A Supplement to Chushingura,"Supplement to Chushingura, A",1892,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol.  143, September 1977; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1977 Performance Program"
99,Chinsetsu yumi harizuki,Chinsetsu yumi harizuki,椿説弓張月,ちんせつゆみはりづき,Tametomo The Archer General,Tametomo The Archer General,1971; 1720 (Chinzei Hachirō Morokoshibune by Ki Kaion),"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 44, November 1969; Bunraku November 1971 Performance Program"
100,Kotobuki shikisanbasō,Kotobuki shikisanbaso,寿式三番叟,ことぶきしきさんばそう,The Dance of Sambaso,"Dance of Sambaso, The",1766 (1878 under the present title),"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980; Bunraku May 1980 Performance Program"
101,Taiheiki chūshin kōshaku,Taiheiki chushin koshaku,太平記忠臣講釈,たいへいきちゅうしんこうしゃく,The Loyal Samurai,"Loyal Samurai, The",1766,November 1993 Program; February 1972 Program
102,Modoribashi,Modoribashi,戻り橋,もどりばし,The Modoribashi Bridge,"Modoribashi Bridge, The",1900,"Bunraku April 1972 Performance Program; Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973)"
103,Nezumi no sōshi,Nezumi no soshi,鼠のそうし,ねずみのそうし,The Rat's Romance,"Rat's Romance, The",1972,Bunraku August 1989 Performance Program
104,Ise ondo koi no netaba,Ise ondo koi no netaba,伊勢音頭恋寝刃,いせおんどこいのねたば,The Bloodshed at Ise,"Bloodshed at Ise, The",1838,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980; Bunraku May 1980 Performance Program; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
105,Kishi no himematsu kutsuwa kagami,Kishi no himematsu kutsuwa kagami,岸姫松轡鑑,きしのひめまつくつわかがみ,The Pine Tree on the River Bank,"Pine Tree on the River Bank, The",1762,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku September 1972 Performance Program; Kishino Himematsu Kutsuwa Kagami (S.l.: s.n., 1762), bibliographic record retrieved from NACSIS Webcat."
106,Shinshū Kawanakajima kassen,Shinshu Kawanakajima kassen,信州川中島合戦,しんしゅうかわなかじまかっせん,The Battle of Kawanakajima,"Battle of Kawanakajima, The",1721,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Chikamatsu: 5 Late Plays, translated and annotated by C. Andrew Gerstle (New York: Columbia University Press, c2001); Bunraku February 1996, May 1973 Performance Programs"
107,Gojūnenki utanebutsu,Gojūnenki utanebutsu,五十年忌歌念仏,ごじゅうねんきうたねんぶつ,The Fiftieth Death Anniversary,"Fiftieth Death Anniversary, The",1709,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 93, May 1973; Bunraku May 1973 Performance Program; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
108,Kamiko-jitate ryōmenkagami,Kamiko-jitate ryomenkagami,紙子仕立両面鑑,かみこじたてりょうめんかがみ,The Faithful Wife,"Faithful Wife, The",1768,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku September 1973 Performance Program"
109,Datemusume koi no higanoko,Datemusume koi no higanoko,伊達娘恋緋鹿子,だてむすめこいのひがのこ,The Red-Hot Love of the Greengrocer's Daughter,"Red-Hot Love of the Greengrocer's Daughter, The",1773,"Bunraku January 1986 Performance Program; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976)"
110,Ōshu Adachigahara,Oshu Adachigahara,奥州安達原,おうしゅうあだちがはら,The Adachi Plain in Oshu,"Adachi Plain in Oshu, The",1762,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 209, December 1982; Bunraku February 1973 Performance Program"
111,Mizuni utsuru enishi no tomozuna,Mizuni utsuru enishi no tomozuna,水映縁友綱,みずにうつるえにしのともづな,The Grateful Cormorant,"Grateful Cormorant, The",1962,Bunraku July 1991 Performance Program
112,Botan dōrō,Botan doro,牡丹燈籠,ぼたんどうろう,Botan doro (The Peony Lantern),Botan doro (The Peony Lantern),[1945+],May 1973 Shinobu Omokage Kizaemon no kai Program; No English Program; No English title available
