character_id,image_id
452,8281
453,8281
454,8281
455,8281
456,8281
2312,8281
452,8282
453,8282
454,8282
455,8282
456,8282
2312,8282
452,8283
453,8283
454,8283
455,8283
456,8283
2312,8283
453,8284
454,8284
455,8284
452,8284
2312,8284
452,8285
454,8285
2312,8285
456,8286
453,8287
454,8287
455,8287
452,8287
2312,8287
452,8288
452,8289
453,8289
454,8289
455,8289
456,8289
2312,8289
452,8290
453,8291
453,8292
453,8293
452,8293
453,8294
452,8294
454,8296
453,8296
452,8297
456,8298
454,8298
452,8299
460,8300
468,8300
459,8300
460,8301
468,8301
459,8302
460,8303
460,8304
468,8304
458,8305
460,8305
468,8305
461,8306
459,8306
458,8306
460,8306
468,8306
458,8307
458,8308
460,8308
460,8309
458,8310
460,8310
461,8311
458,8311
461,8312
461,8313
458,8313
461,8314
459,8314
458,8315
460,8315
458,8316
458,8317
461,8318
461,8319
461,8320
461,8321
461,8322
461,8324
459,8324
458,8324
461,8325
458,8325
460,8325
468,8325
461,8326
458,8326
460,8326
468,8326
461,8327
459,8327
458,8327
460,8327
468,8327
458,8328
461,8328
458,8329
461,8329
468,8329
458,8330
461,8330
461,8331
460,8331
458,8332
461,8333
461,8334
458,8335
461,8335
458,8336
461,8336
463,8338
462,8340
459,8340
460,8340
468,8340
462,8341
463,8342
468,8344
463,8345
462,8345
463,8346
463,8347
462,8347
468,8348
460,8348
468,8349
460,8349
464,8350
464,8351
468,8352
460,8352
464,8353
462,8353
464,8354
459,8355
459,8356
464,8357
460,8357
464,8358
459,8358
463,8359
464,8359
463,8360
464,8360
464,8361
463,8361
462,8362
468,8362
464,8362
2264,8362
464,8363
462,8364
462,8365
459,8365
468,8365
460,8365
459,8366
468,8366
462,8367
459,8367
468,8367
460,8367
463,8368
464,8368
2264,8368
463,8369
463,8370
463,8371
463,8372
463,8373
459,8379
460,8379
459,8380
460,8380
459,8381
468,8381
465,8382
466,8382
469,8382
459,8382
468,8382
460,8382
462,8382
465,8383
466,8383
469,8383
459,8383
468,8383
460,8383
462,8383
459,8384
460,8384
468,8384
460,8385
459,8386
468,8386
459,8387
468,8387
459,8388
468,8388
459,8389
459,8390
459,8391
468,8391
468,8392
460,8392
468,8393
460,8393
468,8394
460,8394
460,8395
459,8396
459,8397
460,8398
459,8399
468,8399
460,8399
459,8400
468,8400
460,8400
459,8401
468,8401
460,8401
459,8402
468,8402
459,8403
459,8404
468,8404
460,8405
460,8406
459,8407
468,8407
460,8407
460,8408
459,8408
468,8408
462,8409
459,8410
468,8410
460,8410
462,8411
468,8411
459,8411
460,8411
462,8412
468,8412
459,8412
460,8412
459,8413
468,8413
460,8413
459,8414
460,8414
462,8415
468,8415
462,8416
468,8416
462,8417
468,8417
459,8418
468,8418
460,8418
459,8419
468,8419
460,8420
459,8420
462,8421
459,8421
468,8421
460,8421
460,8422
459,8422
462,8423
460,8423
459,8423
468,8423
462,8424
460,8424
459,8424
468,8424
462,8425
460,8425
459,8425
468,8425
460,8426
459,8426
468,8426
460,8427
459,8427
468,8427
459,8428
468,8428
459,8429
468,8429
460,8429
459,8430
468,8430
460,8430
459,8431
468,8431
460,8431
459,8432
468,8432
460,8432
459,8433
468,8433
460,8433
462,8434
460,8434
459,8434
468,8434
459,8435
460,8435
460,8436
460,8438
459,8438
459,8439
468,8439
459,8440
468,8440
459,8441
468,8441
460,8441
459,8442
468,8442
460,8442
459,8443
468,8443
460,8443
466,8444
465,8444
465,8445
466,8445
469,8445
465,8446
466,8446
469,8446
467,8446
465,8447
466,8447
469,8447
467,8447
465,8448
469,8448
466,8448
459,8449
460,8449
465,8450
469,8450
466,8450
459,8450
468,8450
460,8450
462,8450
468,8451
466,8451
465,8451
2265,8451
465,8452
469,8452
466,8452
459,8452
468,8452
460,8452
462,8452
465,8453
469,8453
466,8453
459,8453
468,8453
460,8453
462,8453
459,8454
468,8454
460,8454
465,8455
469,8455
466,8455
459,8456
468,8456
460,8456
466,8457
459,8457
469,8458
468,8458
469,8459
468,8459
469,8460
468,8460
469,8461
468,8461
466,8462
459,8462
464,8462
459,8463
460,8463
465,8464
469,8464
466,8464
459,8464
468,8464
460,8464
462,8464
464,8465
459,8466
469,8466
460,8466
459,8467
469,8467
460,8468
469,8468
464,8471
464,8472
464,8473
460,8473
464,8474
460,8474
464,8475
460,8475
464,8476
460,8476
460,8477
469,8477
459,8478
460,8478
2312,8478
459,8479
460,8479
2312,8479
459,8480
460,8480
2312,8480
460,8481
459,8482
460,8483
460,8484
459,8484
460,8485
459,8486
459,8487
459,8488
469,8488
459,8489
460,8489
469,8489
459,8490
460,8490
469,8490
459,8491
460,8491
469,8491
459,8492
460,8492
459,8493
460,8493
459,8494
460,8494
459,8495
459,8496
459,8497
459,8498
459,8499
460,8499
459,8500
459,8501
459,8502
459,8503
459,8504
459,8505
459,8506
459,8507
459,8508
459,8509
459,8510
459,8511
459,8512
459,8513
459,8514
460,8514
459,8515
460,8515
459,8516
460,8516
459,8517
460,8517
459,8518
460,8518
459,8519
460,8519
2265,8520
466,8521
468,8521
2265,8522
2265,8523
470,8523
465,8524
465,8525
466,8526
468,8526
470,8527
470,8528
470,8529
470,8530
470,8531
465,8532
466,8533
465,8533
470,8533
459,8533
466,8534
465,8534
470,8534
459,8534
466,8535
468,8535
470,8535
465,8535
470,8536
459,8537
459,8538
459,8539
459,8540
466,8541
465,8541
459,8541
466,8542
459,8542
465,8542
459,8543
459,8544
459,8545
465,8545
459,8546
465,8547
465,8548
459,8549
459,8550
459,8551
459,8552
459,8553
466,8554
466,8555
466,8556
465,8557
465,8558
465,8559
459,8559
470,8560
470,8561
470,8562
465,8563
466,8563
465,8564
466,8564
465,8565
466,8565
465,8566
466,8566
465,8567
459,8567
459,8568
465,8568
470,8568
465,8569
465,8570
465,8571
470,8571
466,8572
465,8572
470,8572
470,8573
470,8574
470,8575
470,8576
470,8577
470,8578
470,8579
470,8580
470,8581
459,8582
459,8583
459,8584
470,8585
468,8585
470,8586
468,8586
470,8587
468,8587
471,8590
472,8590
473,8590
472,8593
470,8593
473,8593
471,8593
472,8594
470,8594
473,8594
471,8594
472,8595
470,8595
473,8595
471,8595
472,8596
470,8596
473,8596
471,8596
472,8597
470,8597
473,8597
471,8597
472,8599
471,8599
471,8600
470,8601
472,8601
470,8602
472,8602
472,8603
470,8603
473,8603
470,8604
470,8605
473,8606
470,8606
470,8607
471,8608
470,8609
473,8609
470,8610
473,8610
472,8610
470,8611
470,8612
472,8612
470,8613
472,8613
470,8614
473,8614
471,8614
472,8615
473,8616
472,8616
470,8617
472,8617
471,8618
473,8618
472,8618
473,8619
472,8619
470,8620
470,8621
470,8622
470,8623
470,8624
472,8624
473,8624
471,8625
473,8625
470,8625
471,8626
473,8626
470,8626
473,8627
470,8627
470,8628
470,8629
471,8630
473,8630
472,8630
470,8630
470,8631
470,8632
470,8633
471,8633
473,8633
470,8634
471,8634
473,8634
470,8635
471,8635
473,8635
470,8636
470,8637
470,8638
470,8639
470,8640
470,8641
470,8642
470,8643
470,8644
470,8645
470,8646
455,8647
465,8647
466,8647
470,8647
2312,8647
466,8648
470,8648
465,8648
455,8649
470,8650
455,8650
2312,8650
455,8651
455,8652
470,8653
466,8653
455,8654
455,8655
470,8656
455,8657
470,8658
470,8659
466,8659
466,8660
468,8660
465,8661
468,8661
465,8662
468,8662
466,8663
468,8663
465,8663
455,8663
476,8665
2313,8665
476,8666
476,8667
475,8667
476,8668
476,8669
475,8669
475,8670
476,8671
475,8671
476,8672
475,8672
477,8673
477,8674
474,8675
474,8676
475,8676
477,8676
476,8677
474,8677
474,8678
474,8679
474,8680
477,8681
474,8682
474,8683
474,8684
474,8685
474,8686
475,8687
474,8688
475,8688
477,8688
475,8689
477,8689
474,8690
475,8690
474,8691
475,8691
474,8692
475,8692
474,8693
475,8693
474,8694
477,8694
474,8695
475,8695
477,8695
474,8696
478,8696
475,8696
474,8697
475,8697
474,8698
475,8698
477,8698
478,8699
474,8699
475,8699
474,8700
478,8700
475,8700
478,8701
474,8701
475,8701
478,8702
475,8702
474,8702
474,8703
475,8703
474,8704
475,8704
476,8705
475,8706
477,8707
475,8708
474,8709
477,8710
474,8711
474,8712
475,8712
474,8713
474,8714
476,8714
474,8715
476,8715
474,8716
476,8716
474,8717
476,8718
474,8719
476,8719
481,8720
476,8720
476,8721
459,8721
476,8722
476,8723
476,8724
476,8725
476,8726
476,8727
476,8728
459,8729
476,8730
459,8731
476,8731
476,8732
476,8733
474,8734
476,8734
474,8735
474,8736
476,8736
474,8737
476,8737
476,8738
476,8739
476,8740
476,8741
476,8742
476,8743
476,8744
476,8745
476,8746
476,8747
476,8749
476,8750
474,8750
476,8751
474,8752
459,8753
