subject_id,image_id
43,8281
73,8281
43,8282
73,8282
43,8283
73,8283
43,8284
73,8284
43,8285
43,8286
43,8287
43,8288
43,8289
73,8289
19,8295
54,8295
73,8306
24,8311
24,8324
73,8324
24,8325
73,8325
24,8326
73,8326
24,8327
73,8327
24,8328
24,8332
24,8335
24,8336
16,8337
24,8339
24,8343
24,8355
24,8356
24,8358
43,8364
43,8365
43,8366
43,8367
43,8368
24,8369
24,8370
16,8374
17,8374
16,8375
16,8376
17,8377
16,8378
16,8379
17,8379
40,8379
73,8379
16,8380
17,8380
40,8380
73,8380
73,8382
73,8383
19,8386
19,8388
19,8391
19,8392
19,8393
19,8394
19,8395
19,8396
19,8397
19,8402
19,8409
73,8421
73,8423
73,8424
73,8425
19,8426
19,8427
19,8428
19,8429
73,8434
73,8435
73,8436
16,8437
17,8437
43,8445
43,8446
43,8447
43,8448
43,8450
73,8450
43,8452
73,8452
43,8453
73,8453
43,8461
43,8462
73,8464
16,8469
17,8469
16,8470
17,8470
73,8478
73,8479
73,8480
73,8513
73,8514
73,8515
73,8516
73,8517
73,8518
73,8519
73,8533
73,8534
16,8588
17,8588
16,8589
17,8589
73,8590
73,8591
32,8591
73,8592
73,8593
73,8594
73,8595
73,8596
73,8597
73,8598
73,8630
73,8631
73,8647
16,8664
17,8664
19,8768
40,8768
19,8769
40,8769
19,8784
16,8821
17,8821
16,8822
17,8822
16,8823
17,8823
73,8859
9,8859
43,8966
43,8967
43,8968
43,8969
43,8970
43,8971
43,8972
43,9051
43,9052
16,9054
17,9054
16,9055
17,9055
40,9055
73,9055
16,9056
17,9056
40,9056
73,9056
24,9057
26,9057
24,9058
26,9058
24,9059
26,9059
10,9067
10,9068
10,9069
10,9070
73,9094
73,9097
73,9098
73,9099
10,9100
73,9101
73,9102
73,9103
10,9104
17,9105
16,9106
10,9107
10,9108
73,9108
10,9109
10,9110
10,9111
10,9112
10,9113
10,9114
10,9115
10,9116
10,9117
73,9117
10,9118
73,9118
10,9119
73,9119
10,9120
24,9120
26,9120
10,9121
24,9121
26,9121
10,9122
24,9122
26,9122
24,9123
26,9123
10,9124
10,9125
73,9130
73,9131
24,9133
26,9133
24,9134
26,9134
10,9135
10,9136
73,9138
10,9139
10,9140
10,9143
10,9151
24,9151
26,9151
26,9152
26,9153
26,9154
26,9155
26,9156
26,9157
26,9158
26,9159
26,9160
26,9161
26,9162
26,9163
26,9164
26,9165
24,9165
26,9166
24,9166
26,9167
24,9167
26,9168
26,9169
26,9170
10,9170
26,9171
10,9171
38,9171
26,9172
10,9172
38,9172
73,9172
26,9173
10,9173
38,9173
73,9173
26,9174
38,9174
73,9174
26,9175
38,9175
73,9175
26,9176
26,9177
24,9177
26,9178
24,9178
26,9179
24,9179
26,9180
24,9180
26,9181
24,9181
26,9182
24,9182
26,9183
24,9183
26,9184
24,9184
10,9185
10,9186
26,9190
26,9191
26,9192
26,9193
16,9194
16,9195
19,9196
38,9196
19,9197
38,9197
37,9221
37,9222
37,9223
37,9224
37,9225
37,9226
37,9227
19,9268
19,9340
54,9340
19,9341
54,9341
19,9342
54,9342
19,9343
54,9343
19,9344
54,9344
19,9346
54,9346
19,9347
54,9347
19,9348
54,9348
19,9368
54,9368
19,9371
54,9371
19,9373
54,9373
19,9376
54,9376
19,9377
54,9377
69,9492
69,9493
69,9494
69,9495
69,9496
69,9497
69,9498
69,9499
19,9499
69,9500
69,9501
69,9502
19,9502
69,9503
69,9504
19,9504
69,9505
19,9505
69,9506
19,9506
69,9507
69,9508
69,9509
69,9510
69,9511
69,9512
69,9513
69,9514
69,9515
69,9516
69,9517
69,9518
69,9519
69,9520
69,9521
69,9522
69,9523
19,9523
69,9524
19,9524
69,9525
69,9526
69,9527
69,9528
69,9529
69,9530
69,9531
69,9532
69,9533
69,9534
69,9535
69,9536
19,9536
69,9537
69,9538
69,9539
69,9540
69,9541
19,9541
69,9542
19,9542
69,9543
69,9544
69,9545
69,9546
69,9547
19,9547
69,9548
69,9549
69,9550
69,9551
69,9552
19,9552
69,9553
69,9554
32,9555
32,9556
32,9557
32,9558
32,9559
32,9560
32,9561
32,9562
32,9563
32,9564
73,9565
73,9566
73,9567
