pscene_id,image_id
128,8281
128,8282
128,8283
128,8284
128,8285
128,8286
128,8287
128,8288
128,8289
128,8290
128,8291
128,8292
128,8293
128,8294
128,8295
128,8296
128,8297
128,8298
128,8299
129,8300
129,8301
129,8302
129,8303
129,8304
129,8305
129,8306
129,8307
129,8308
129,8309
129,8310
129,8311
129,8312
129,8313
129,8314
129,8315
129,8316
129,8317
129,8318
129,8319
129,8320
129,8321
129,8322
129,8323
129,8324
129,8325
129,8326
129,8327
129,8328
129,8329
129,8330
129,8331
129,8332
129,8333
129,8334
129,8335
129,8336
129,8337
130,8338
130,8339
130,8340
130,8341
130,8342
130,8343
130,8344
130,8345
130,8346
130,8347
130,8348
130,8349
130,8350
130,8351
130,8352
130,8353
130,8354
130,8355
130,8356
130,8357
130,8358
130,8359
130,8360
130,8361
130,8362
130,8363
130,8364
130,8365
130,8366
130,8367
130,8368
130,8369
130,8370
130,8371
130,8372
130,8373
401,8374
401,8375
401,8376
401,8377
401,8378
401,8379
401,8380
401,8381
131,8382
131,8383
401,8384
401,8385
401,8386
401,8387
401,8388
401,8389
401,8390
401,8391
401,8392
401,8393
401,8394
401,8395
401,8396
401,8397
401,8398
401,8399
401,8400
401,8401
401,8402
401,8403
401,8404
401,8405
401,8406
401,8407
401,8408
401,8409
401,8410
401,8411
401,8412
401,8413
401,8414
401,8415
401,8416
401,8417
401,8418
401,8419
401,8420
401,8421
401,8422
401,8423
401,8424
401,8425
401,8426
401,8427
401,8428
401,8429
401,8430
401,8431
401,8432
401,8433
401,8434
401,8435
401,8436
401,8437
401,8438
401,8439
401,8440
401,8441
401,8442
401,8443
131,8444
131,8445
131,8446
131,8447
131,8448
131,8449
131,8450
133,8451
131,8452
131,8453
131,8454
131,8455
131,8456
131,8457
131,8458
131,8459
131,8460
131,8461
131,8462
131,8463
131,8464
131,8465
131,8466
131,8467
131,8468
131,8469
131,8470
132,8471
132,8472
132,8473
132,8474
132,8475
132,8476
132,8477
132,8478
132,8479
132,8480
132,8481
132,8482
132,8483
132,8484
132,8485
132,8486
132,8487
132,8488
132,8489
132,8490
132,8491
132,8492
132,8493
132,8494
132,8495
132,8496
132,8497
132,8498
132,8499
132,8500
132,8501
132,8502
132,8503
132,8504
132,8505
132,8506
132,8507
132,8508
132,8509
132,8510
132,8511
132,8512
132,8513
132,8514
132,8515
132,8516
132,8517
132,8518
132,8519
133,8520
133,8521
133,8522
133,8523
133,8524
133,8525
133,8526
133,8527
133,8528
133,8529
133,8530
133,8531
133,8532
133,8533
133,8534
133,8535
133,8536
133,8537
133,8538
133,8539
133,8540
133,8541
133,8542
133,8543
133,8544
133,8545
133,8546
133,8547
133,8548
133,8549
133,8550
133,8551
133,8552
133,8553
133,8554
133,8555
133,8556
133,8557
133,8558
133,8559
133,8560
133,8561
133,8562
133,8563
133,8564
133,8565
133,8566
133,8567
133,8568
133,8569
133,8570
133,8571
133,8572
133,8573
133,8574
133,8575
133,8576
133,8577
133,8578
133,8579
133,8580
133,8581
133,8582
133,8583
133,8584
133,8585
133,8586
133,8587
133,8588
402,8589
402,8590
402,8591
402,8592
402,8593
402,8594
402,8595
402,8596
402,8597
402,8598
402,8599
402,8600
402,8601
402,8602
402,8603
402,8604
402,8605
402,8606
402,8607
402,8608
402,8609
402,8610
402,8611
402,8612
402,8613
402,8614
402,8615
402,8616
402,8617
402,8618
402,8619
402,8620
402,8621
402,8622
402,8623
402,8624
402,8625
402,8626
402,8627
402,8628
402,8629
402,8630
402,8631
402,8632
402,8633
402,8634
402,8635
402,8636
402,8637
402,8638
402,8639
402,8640
402,8641
402,8642
402,8643
402,8644
402,8645
402,8646
402,8647
402,8648
402,8649
402,8650
402,8651
402,8652
402,8653
402,8654
402,8655
402,8656
402,8657
402,8658
402,8659
402,8660
402,8661
402,8662
402,8663
134,8664
134,8665
134,8666
134,8667
134,8668
134,8669
134,8670
134,8671
134,8672
135,8673
135,8674
135,8675
135,8676
135,8677
135,8678
135,8679
135,8680
135,8681
135,8682
135,8683
135,8684
135,8685
135,8686
135,8687
135,8688
135,8689
135,8690
135,8691
135,8692
135,8693
135,8694
136,8695
136,8696
136,8697
136,8698
136,8699
136,8700
136,8701
136,8702
136,8703
136,8704
136,8705
136,8706
136,8707
136,8708
136,8709
136,8710
136,8711
136,8712
136,8713
136,8714
136,8715
136,8716
136,8717
136,8718
136,8719
138,8720
138,8721
138,8722
138,8723
138,8724
138,8725
138,8726
138,8727
138,8728
138,8729
138,8730
138,8731
138,8732
138,8733
138,8734
138,8735
138,8736
138,8737
138,8738
138,8739
138,8740
138,8741
138,8742
138,8743
138,8744
138,8745
138,8746
138,8747
138,8748
138,8749
138,8750
138,8751
138,8752
139,8753
139,8754
139,8755
139,8756
139,8757
139,8758
139,8759
139,8760
139,8761
139,8762
139,8763
139,8764
139,8765
139,8766
139,8767
139,8768
329,8769
329,8770
329,8771
329,8772
329,8773
329,8774
329,8775
329,8776
329,8777
329,8778
329,8779
329,8780
329,8781
329,8782
329,8783
329,8784
329,8785
329,8786
329,8787
329,8788
329,8789
329,8790
329,8791
329,8792
329,8793
329,8794
329,8795
329,8796
329,8797
329,8798
329,8799
329,8800
329,8801
329,8802
329,8803
329,8804
329,8805
329,8806
329,8807
329,8808
329,8809
329,8810
329,8811
329,8812
329,8813
329,8814
329,8815
329,8816
329,8817
329,8818
329,8819
329,8820
333,8821
333,8822
333,8823
333,8824
333,8825
333,8826
333,8827
333,8828
333,8829
333,8830
333,8831
333,8832
333,8833
333,8834
333,8835
333,8836
333,8837
333,8838
333,8839
333,8840
333,8841
333,8842
333,8843
333,8844
333,8845
333,8846
333,8847
333,8848
333,8849
333,8850
333,8851
333,8852
333,8853
333,8854
333,8855
333,8856
333,8857
333,8858
334,8859
334,8860
334,8861
334,8862
334,8863
334,8864
334,8865
334,8866
334,8867
334,8868
334,8869
334,8870
334,8871
334,8872
334,8873
334,8874
334,8875
334,8876
334,8877
334,8878
334,8879
334,8880
334,8881
334,8882
334,8883
334,8884
334,8885
334,8886
334,8887
334,8888
334,8889
334,8890
334,8891
334,8892
334,8893
334,8894
334,8895
334,8896
334,8897
334,8898
334,8899
334,8900
334,8901
334,8902
334,8903
334,8904
334,8905
335,8906
335,8907
335,8908
335,8909
335,8910
335,8911
335,8912
335,8913
335,8914
335,8915
335,8916
335,8917
335,8918
335,8919
335,8920
335,8921
335,8922
335,8923
335,8924
335,8925
335,8926
335,8927
335,8928
335,8929
335,8930
335,8931
335,8932
335,8933
335,8934
335,8935
335,8936
335,8937
335,8938
335,8939
335,8940
335,8941
335,8942
335,8943
335,8944
335,8945
335,8946
335,8947
335,8948
335,8949
335,8950
335,8951
335,8952
335,8953
335,8954
335,8955
335,8956
335,8957
335,8958
335,8959
335,8960
335,8961
335,8962
335,8963
335,8964
335,8965
157,8966
157,8967
157,8968
157,8969
157,8970
157,8971
157,8972
158,8973
158,8974
158,8975
158,8976
158,8977
158,8978
158,8979
158,8980
158,8981
158,8982
158,8983
158,8984
158,8985
158,8986
158,8987
158,8988
158,8989
158,8990
158,8991
158,8992
158,8993
158,8994
158,8995
158,8996
158,8997
158,8998
158,8999
158,9000
158,9001
158,9002
158,9003
158,9004
158,9005
158,9006
158,9007
158,9008
158,9009
158,9010
158,9011
158,9012
158,9013
158,9014
158,9015
158,9016
158,9017
158,9018
158,9019
158,9020
158,9021
158,9022
158,9023
158,9024
158,9025
158,9026
158,9027
158,9028
158,9029
158,9030
158,9031
158,9032
158,9033
158,9034
158,9035
158,9036
158,9037
158,9038
158,9039
158,9040
158,9041
158,9042
158,9043
158,9044
158,9045
158,9046
158,9047
158,9048
158,9049
158,9050
613,9051
613,9052
158,9053
249,9054
249,9055
249,9056
629,9057
629,9058
629,9059
629,9060
629,9061
629,9062
629,9063
629,9064
629,9065
629,9066
629,9067
629,9068
629,9069
629,9070
629,9071
629,9072
629,9073
629,9074
629,9075
629,9076
629,9077
629,9078
629,9079
629,9080
629,9081
629,9082
629,9083
629,9084
385,9085
385,9086
385,9087
385,9088
385,9089
385,9090
385,9091
385,9092
385,9093
385,9094
385,9095
385,9096
385,9097
385,9098
385,9099
385,9100
385,9101
385,9102
385,9103
385,9104
385,9105
385,9106
385,9107
385,9108
385,9109
385,9110
385,9111
385,9112
385,9113
385,9114
385,9115
385,9116
385,9117
385,9118
385,9119
385,9120
385,9121
385,9122
385,9123
385,9124
385,9125
385,9126
385,9127
385,9128
385,9129
385,9130
385,9131
385,9132
385,9133
385,9134
385,9135
385,9136
385,9137
385,9138
385,9139
385,9140
385,9141
385,9142
385,9143
385,9144
385,9145
385,9146
385,9147
385,9148
385,9149
385,9150
385,9151
385,9152
385,9153
385,9154
385,9155
385,9156
385,9157
385,9158
385,9159
385,9160
385,9161
385,9162
385,9163
385,9164
385,9165
385,9166
385,9167
385,9168
385,9169
385,9170
385,9171
385,9172
385,9173
385,9174
385,9175
385,9176
385,9177
385,9178
385,9179
385,9180
385,9181
385,9182
385,9183
385,9184
385,9185
385,9186
385,9187
385,9188
385,9189
385,9190
385,9191
385,9192
385,9193
385,9194
385,9195
385,9196
385,9197
94,9198
94,9199
94,9200
94,9201
94,9202
94,9203
94,9204
94,9205
94,9206
94,9207
94,9208
94,9209
94,9210
94,9211
94,9212
94,9213
94,9214
94,9215
94,9216
94,9217
94,9218
94,9219
95,9220
95,9221
95,9222
95,9223
95,9224
95,9225
95,9226
95,9227
95,9228
95,9229
95,9230
95,9231
95,9232
95,9233
95,9234
95,9235
95,9236
95,9237
95,9238
95,9239
95,9240
95,9241
95,9242
95,9243
96,9244
96,9245
96,9246
96,9247
96,9248
94,9249
94,9250
95,9251
95,9252
95,9253
95,9254
95,9255
95,9256
95,9257
95,9258
95,9259
95,9260
95,9261
96,9262
96,9263
96,9264
96,9265
96,9266
97,9267
97,9268
97,9269
97,9270
97,9271
97,9272
97,9273
97,9274
97,9275
97,9276
97,9277
97,9278
97,9279
97,9280
97,9281
97,9282
97,9283
97,9284
97,9285
97,9286
97,9287
97,9288
97,9289
97,9290
97,9291
97,9292
97,9293
97,9294
97,9295
97,9296
97,9297
97,9298
97,9299
97,9300
97,9301
97,9302
97,9303
97,9304
97,9305
97,9306
97,9307
97,9308
97,9309
97,9310
97,9311
97,9312
97,9313
97,9314
97,9315
97,9316
97,9317
97,9318
97,9319
97,9320
97,9321
97,9322
97,9323
97,9324
97,9325
97,9326
97,9327
97,9328
97,9329
97,9330
97,9331
97,9332
97,9333
97,9334
97,9335
97,9336
97,9337
97,9338
97,9339
97,9340
97,9341
97,9342
97,9343
97,9344
97,9345
97,9346
97,9347
97,9348
239,9349
239,9350
239,9351
239,9352
239,9353
239,9354
239,9355
239,9356
239,9357
239,9358
239,9359
239,9360
239,9361
239,9362
239,9363
239,9364
240,9365
240,9366
240,9367
240,9368
240,9369
240,9370
240,9371
240,9372
240,9373
240,9374
240,9375
240,9376
240,9377
240,9378
240,9379
240,9380
240,9381
240,9382
240,9383
240,9384
240,9385
241,9386
241,9387
241,9388
241,9389
241,9390
241,9391
241,9392
241,9393
241,9394
241,9395
241,9396
241,9397
241,9398
241,9399
241,9400
241,9401
241,9402
241,9403
241,9404
241,9405
241,9406
241,9407
241,9408
241,9409
241,9410
241,9411
241,9412
241,9413
232,9414
232,9415
232,9416
232,9417
232,9418
232,9419
232,9420
232,9421
232,9422
232,9423
232,9424
232,9425
232,9426
232,9427
232,9428
233,9429
233,9430
233,9431
233,9432
233,9433
233,9434
233,9435
233,9436
233,9437
233,9438
233,9439
233,9440
233,9441
233,9442
233,9443
233,9444
233,9445
233,9446
233,9447
233,9448
233,9449
233,9450
233,9451
233,9452
233,9453
233,9454
233,9455
233,9456
233,9457
233,9458
233,9459
233,9460
233,9461
233,9462
233,9463
233,9464
233,9465
233,9466
233,9467
233,9468
233,9469
233,9470
233,9471
233,9472
233,9473
233,9474
233,9475
233,9476
233,9477
233,9478
233,9479
233,9480
233,9481
233,9482
233,9483
234,9484
234,9485
234,9486
234,9487
234,9488
234,9489
234,9490
234,9491
276,9492
276,9493
276,9494
276,9495
276,9496
276,9497
276,9498
276,9499
276,9500
276,9501
276,9502
276,9503
276,9504
276,9505
276,9506
276,9507
276,9508
276,9509
276,9510
276,9511
276,9512
276,9513
276,9514
276,9515
276,9516
276,9517
276,9518
276,9519
276,9520
276,9521
276,9522
276,9523
276,9524
276,9525
276,9526
276,9527
276,9528
276,9529
276,9530
276,9531
276,9532
276,9533
276,9534
276,9535
276,9536
276,9537
276,9538
276,9539
276,9540
276,9541
276,9542
276,9543
276,9544
276,9545
276,9546
276,9547
276,9548
276,9549
276,9550
276,9551
276,9552
276,9553
276,9554
263,9555
263,9556
263,9557
263,9558
263,9559
263,9560
263,9561
263,9562
263,9563
263,9564
263,9565
263,9566
263,9567
263,9568
263,9569
263,9570
263,9571
263,9572
263,9573
263,9574
263,9575
263,9576
263,9577
263,9578
263,9579
263,9580
263,9581
263,9582
263,9583
263,9584
263,9585
263,9586
263,9587
263,9588
263,9589
263,9590
263,9591
263,9592
263,9593
263,9594
263,9595
263,9596
263,9597
263,9598
263,9599
263,9600
263,9601
263,9602
263,9603
263,9604
263,9605
263,9606
263,9607
263,9608
249,9609
249,9610
249,9611
249,9612
249,9613
249,9614
249,9615
34,9616
34,9617
34,9618
34,9619
34,9620
34,9621
34,9622
34,9623
34,9624
34,9625
34,9626
34,9627
34,9628
34,9629
34,9630
34,9631
34,9632
34,9633
34,9634
34,9635
34,9636
34,9637
34,9638
34,9639
34,9640
34,9641
34,9642
34,9643
34,9644
34,9645
34,9646
34,9647
34,9648
34,9649
34,9650
34,9651
34,9652
34,9653
34,9654
34,9655
34,9656
34,9657
34,9658
34,9659
34,9660
34,9661
34,9662
34,9663
34,9664
34,9665
34,9666
34,9667
34,9668
34,9669
34,9670
34,9671
34,9672
34,9673
116,9674
116,9675
116,9676
116,9677
116,9678
116,9679
116,9680
116,9681
116,9682
116,9683
116,9684
116,9685
116,9686
116,9687
116,9688
116,9689
116,9690
116,9691
116,9692
116,9693
116,9694
116,9695
116,9696
116,9697
116,9698
116,9699
116,9700
116,9701
116,9702
116,9703
116,9704
116,9705
116,9706
116,9707
116,9708
116,9709
116,9710
116,9711
116,9712
116,9713
116,9714
117,9715
117,9716
117,9717
117,9718
117,9719
117,9720
117,9721
117,9722
117,9723
117,9724
117,9725
117,9726
117,9727
117,9728
117,9729
117,9730
117,9731
117,9732
117,9733
117,9734
117,9735
117,9736
117,9737
117,9738
117,9739
117,9740
117,9741
117,9742
117,9743
117,9744
117,9745
117,9746
117,9747
117,9748
117,9749
117,9750
117,9751
117,9752
295,9753
295,9754
295,9755
295,9756
295,9757
295,9758
295,9759
295,9760
295,9761
295,9762
295,9763
295,9764
295,9765
295,9766
566,9767
566,9768
566,9769
566,9770
566,9771
566,9772
566,9773
566,9774
566,9775
566,9776
637,9777
637,9778
637,9779
637,9780
637,9781
637,9782
637,9783
637,9784
637,9785
637,9786
637,9787
637,9788
637,9789
637,9790
637,9791
637,9792
637,9793
637,9794
637,9795
180,9796
180,9797
180,9798
180,9799
180,9800
180,9801
180,9802
180,9803
180,9804
180,9805
180,9806
180,9807
180,9808
180,9809
180,9810
180,9811
180,9812
180,9813
180,9814
180,9815
180,9816
180,9817
180,9818
180,9819
181,9820
181,9821
181,9822
181,9823
181,9824
181,9825
181,9826
181,9827
181,9828
181,9829
181,9830
181,9831
181,9832
181,9833
181,9834
181,9835
181,9836
181,9837
181,9838
181,9839
181,9840
181,9841
181,9842
181,9843
181,9844
181,9845
181,9846
181,9847
181,9848
181,9849
181,9850
181,9851
181,9852
181,9853
181,9854
181,9855
181,9856
181,9857
181,9858
181,9859
181,9860
181,9861
181,9862
181,9863
182,9864
182,9865
182,9866
182,9867
182,9868
182,9869
182,9870
182,9871
182,9872
182,9873
182,9874
182,9875
183,9876
183,9877
183,9878
183,9879
183,9880
183,9881
183,9882
183,9883
183,9884
183,9885
183,9886
183,9887
183,9888
183,9889
183,9890
183,9891
183,9892
183,9893
183,9894
183,9895
183,9896
183,9897
183,9898
183,9899
183,9900
183,9901
183,9902
183,9903
183,9904
183,9905
183,9906
183,9907
183,9908
184,9909
184,9910
184,9911
184,9912
184,9913
184,9914
185,9915
185,9916
185,9917
185,9918
185,9919
185,9920
185,9921
185,9922
185,9923
185,9924
185,9925
185,9926
185,9927
185,9928
185,9929
185,9930
185,9931
185,9932
185,9933
185,9934
185,9935
185,9936
185,9937
185,9938
185,9939
185,9940
185,9941
185,9942
185,9943
185,9944
185,9945
185,9946
185,9947
185,9948
185,9949
185,9950
185,9951
185,9952
185,9953
251,9954
251,9955
251,9956
251,9957
251,9958
252,9959
252,9960
252,9961
252,9962
252,9963
252,9964
251,9965
251,9966
251,9967
251,9968
252,9969
252,9970
252,9971
252,9972
252,9973
252,9974
252,9975
252,9976
252,9977
252,9978
252,9979
252,9980
252,9981
252,9982
252,9983
252,9984
252,9985
252,9986
252,9987
253,9988
253,9989
