id,pscene_id,narrator_id,tayusub_id,tayu_description,sortorder
1449,674,66,0,Yajirobe,1
1450,674,6,0,Kitahachi,2
1451,674,63,0,Buddhist priest,3
1452,674,5,0,Father,4
1453,674,55,0,Son,5
1454,675,5,0,,1
1455,676,34,0,,1
1456,677,6,0,,1
1457,678,1,0,,1
1458,679,31,0,,1
1459,680,66,0,,1
1460,680,33,0,,2
1461,681,68,0,Ohan,1
1462,681,53,0,Choemon,2
1463,681,56,0,Tsure [narrative/assistant narrator],3
1464,681,57,0,Tsure [narrative/assistant narrator],4
1465,681,59,0,Tsure [narrative/assistant narrator],5
1466,681,73,0,Tsure [narrative/assistant narrator],6
1467,681,101,,Tsure [narrative/assistant narrator],7
1468,682,29,0,,1
1469,683,2,0,,1
1470,684,63,0,Hyosuke,1
1471,684,57,56,Fudematsu,2
1472,684,55,0,Danpachi,3
1473,684,35,0,Omaki,4
1474,684,29,0,Tobei,5
1475,686,68,0,,1
1476,686,53,0,,2
1477,686,55,0,,3
1478,686,73,0,,4
1479,687,2,0,,1
1480,688,66,0,,1
1481,689,73,0,,1
1482,690,9,0,,1
1483,691,63,0,,1
1484,692,66,0,,1
1485,693,34,0,,1
1486,694,63,0,,1
1487,694,68,0,,2
1488,695,54,0,,1
1489,695,34,0,,2
1490,696,29,0,,1
1491,696,31,0,,2
1492,697,68,0,,1
1493,697,33,0,,2
1494,698,6,0,,1
1495,699,29,0,,1
1496,699,53,0,,2
1497,699,35,0,,3
1498,699,58,0,,4
1499,699,101,0,,5
1500,700,5,0,Part 1,1
1501,700,63,9,Part 2: Chogoro Nuregami,2
1502,700,53,0,Part 2: Chokichi Hanaregoma,3
1503,701,55,0,Naka [Part 1],1
1504,701,9,63,Oku [Part2],2
1505,702,1,0,Chogoro Nuregami,1
1506,702,54,0,Gonzaemon Hiraoka,2
1507,702,57,0,Ariemon Mihara,3
1508,702,56,0,Yogoro Yamazaki,4
1509,702,35,0,Azuma,5
1510,702,55,0,Chokichi Hanaregoma,6
1511,703,2,0,,1
1512,704,68,0,Naka [Part 1],1
1513,704,66,0,Oku [Part2],2
1514,705,63,0,Chogoro,1
1515,705,53,0,Chokichi,2
1516,706,55,0,,1
1517,706,9,0,,2
1518,707,5,0,Chogoro Hanaregoma,1
1519,707,54,0,Gozaemon Hiraoka,2
1520,707,57,0,Ariemon Mihara,3
1521,707,35,0,Azuma,4
1522,707,58,0,Yogoro Yamazaki,5
1523,707,55,0,Chokichi Hanaregoma,6
1524,708,2,0,,1
1525,709,68,0,,1
1526,709,66,0,,2
1527,710,63,0,Fukunoichi,1
1528,710,54,0,Tokunoichi,2
1529,710,35,0,Tamanoichi,3
1530,711,6,0,,1
1531,712,6,0,,1
1532,713,31,0,,1
1533,714,29,0,Umekawa,1
1534,714,53,0,Chubei,2
1535,714,73,0,,3
1536,714,59,0,,4
1537,714,101,0,,5
1538,715,33,0,Akoya,1
1539,715,34,0,Shigetada,2
1540,715,1,0,Iwanaga,3
1541,715,9,0,Hanzawa,4
1542,716,54,0,Tadayoshi,1
1543,716,53,0,Moronao,2
1544,716,68,0,Kaoyo,3
1545,716,9,0,Hangan,4
1546,716,29,0,Wakasanosuke,5
1547,717,54,0,Tadayoshi,1
1548,717,53,0,Moronao,2
1549,717,68,0,Kaoyo,3
1550,717,9,0,Hangan,4
1551,717,29,0,Wakasanosuke,5
1552,718,9,0,,1
1553,719,63,0,,1
1554,720,66,0,,1
1555,721,58,0,,1
1556,722,5,0,,1
1557,723,1,0,,1
1558,724,29,0,,1
1559,725,31,0,,1
1560,726,6,0,Yuranosuke,1
1561,726,55,0,Rikiya,2
1562,726,5,0,Jutaro,3
1563,726,73,0,Kitahachi,4
1564,726,59,0,Yagoro,5
1565,726,35,0,Tea house maid,6
1566,726,68,,Okaru,7
1567,726,101,,Tea house maid,8
1568,726,57,,Tea house proprietor,9
1569,726,53,,Bannai,10
1570,726,1,,Kudayu,11
1571,726,34,,Heiemon,12
1572,727,33,0,Konami,1
1573,727,63,0,Tonase,2
1574,727,35,0,Tsure [narrative/assistant narrator],3
1575,727,59,0,Tsure [narrative/assistant narrator],4
1576,727,57,0,Tsure [narrative/assistant narrator],5
1577,728,5,0,,1
1578,729,2,0,,1
1579,730,55,0,Yuranosuke,1
1580,730,35,0,Wakasanosuke,2
1581,730,73,0,,3
1582,731,53,0,Masaoka,1
1583,731,5,0,Yashio,2
1584,731,63,29,Okinoi,3
1585,731,35,0,Tsurukiyo,4
1586,731,59,0,Senmatsu,5
1587,731,57,0,Komaki,6
1588,731,58,,Spy,7
1589,731,101,,Maid,8
1590,732,29,0,,1
1591,732,63,0,,2
1592,733,9,0,,1
1593,734,55,0,,1
1594,735,73,0,,1
1595,735,68,0,,2
1596,735,1,0,,3
1597,736,54,0,,1
1598,736,73,0,,2
1599,736,59,0,,3
1600,736,58,0,,4
1601,779,63,0,Watonai,1
1602,779,55,0,Komutsu,2
1603,779,56,0,Roikkan's wife,3
1604,779,57,0,Roikkan,4
1605,779,101,0,Princess Sendan,5
1606,780,5,0,,1
1607,781,33,0,,1
1608,782,2,0,,1
1609,783,34,0,,1
1610,784,1,0,Warlord,1
1611,784,5,0,Tarokaja,2
1612,784,54,0,Beautiful woman,3
1613,784,29,0,Ugly woman,4
1614,785,68,0,Tayu,1
1615,785,53,0,Saizo,2
1616,785,35,0,Tsure [narrative/assistant narrator],3
1617,785,58,0,Tsure [narrative/assistant narrator],4
1618,785,33,0,Tsure [narrative/assistant narrator],5
1619,785,73,0,Tsure [narrative/assistant narrator],6
1620,786,31,0,,1
1621,788,6,0,Part 1,1
1622,788,66,0,Part 2,2
1623,789,68,0,,1
1624,790,63,0,Sakuramaru,1
1625,790,35,0,Kariya,2
1626,790,56,0,Princess Tokiyo,3
1627,790,57,0,Tsure [narrative/assistant narrator],4
1628,790,101,0,Tsure [narrative/assistant narrator],5
1629,791,1,0,Matsuomaru,1
1630,791,9,0,Umeomaru,2
1631,791,68,0,Sakuramaru,3
