scene_id,scene_code,scene_order,label_ja,label_ja_sort,label_eng,label_ka,play_id,authority_control
48,Futago-01,051,Sōta sumika,Sota sumika [Futago],Sota's House,惣太住家,17,February 1988 Program
49,Futago-02,052,Kyōjo michiyuki,Kyojo michiyuki [Futago],The Mad Woman,狂女道行,17,February 1988 Program
50,Futago-03,053,Sumidagawa,Sumidagawa [Futago],The Sumida River,隅田川,17,February 1988 Program
51,Futatsu-01,054,Horie sumōba,Horie sumoba [Futatsu],The Sumo Arena at Horie,堀江相撲場,18,September 1989 Program
52,Futatsu-02,055,Daihojimachi komeya,Daihojimachi komeya [Futatsu],The Rice Shop at Daihojimachi,大宝寺町米屋,18,September 1989 Program
53,Futatsu-03,056,Nambaura kenka,Nambaura kenka [Futatsu],The Fighting at Nambaura,難波裏喧嘩,18,September 1989 Program
54,Futatsu-04,057,Hashimoto,Hashimoto [Futatsu],The Town of Hashimoto,橋本,18,September 1989 Program
55,Futatsu-05,058,Yawata-no sato hikimado,Yawata-no sato hikimado [Futatsu],The Skylight,八幡里引窓,18,September 1989 Program
56,Genpei-01,059,Ōuchi,Ouchi [Genpei],The Imperial Palace,大内,93,November 1970 Program
57,Genpei-02,060,Nunobiki-no taki,Nunobiki-no taki [Genpei],The Nunobiki Waterfall,布引滝,93,November 1970 Program
58,Genpei-03,061,Yoshikata yakata,Yoshikata yakata [Genpei],Yosikata's Mansion,義賢館,93,November 1970 Program
59,Genpei-04,062,Yabase,Yabase [Genpei],Yabase Bay,矢橋,93,November 1970 Program
60,Genpei-05,063,Chikubushima yūran,Chikubushima yuran [Genpei],The Return from Chikubu Island,竹生島遊覧,93,November 1970 Program; October 1974 Program
61,Genpei-06,064,Kurosuke uchi,Kurosuke uchi [Genpei],Kurosuke's House,九郎助内,93,November 1970 Program; October 1974 Program
62,Genpei-07,065,Seno'o Jurō sengi,Seno'o Juro sengi [Genpei],Inquisition by Seno-o,瀬尾十郎詮議,93,October 1974 Program
63,Genpei-08,066,Sanemori monogatari,Sanemori monogatari [Genpei],Sanemori's Explanation,実盛物語,93,October 1974 Program
64,Genpei-09,067,Watakuriuma,Watakuriuma [Genpei],The Spinning Frame,綿繰馬,93,October 1974 Program
65,Genpei-10,068,Otowayama,Otowayama [Genpei],The Otowa Hill,音羽山,93,October 1974 Program
66,Genpei-11,069,Matsunami biwa,Matsunami biwa [Genpei],The Biwa Music,松波琵琶,93,October 1974 Program
67,Genpei-12,070,Momijiyama,Momijiyama [Genpei],The Maple Hill,紅葉山,93,October 1974 Program
68,Gion-03,071,Tobita (See also Kishi no Sato),Tobita [Gion],The Sake Peddler (See also The Village of Kishinosato),鳶田 (See also 岸の里),19,May 1982 Program
69,Gion-05,072,Zesai sumika (See also Tengachaya),Zesai sumika [Gion],Zesai's House (See also The Village of Tengachaya),是斎住家 (See also 天下茶屋),19,May 1982 Program
70,Gion-06,073,Kinkakuji,Kinkakuji [Gion],The Golden Pavilion,金閣寺,19,May 1971 Program
71,Gion-07,074,Tsumasaki nezumi,Tsumasaki nezumi [Gion],The Painted Rat,爪先鼠,19,May 1982 Program
72,Gishi-01,078,Yasaku kamabara,Yasaku kamabara [Gishi],The Suicide with a Scythe,弥作鎌腹,20,April 1996 Program
73,Goban-01,079,Yamashina kankyo,Yamashina kankyo [Goban],Yuranosuke's House in Yamashina,山科閑居,85,February 1980 Program
74,Gojunenki-01,080,Kasa monogurui,Kasa monogurui [Gojunenki],The Mad Woman,笠物狂,107,May 1973 Program
75,Gokusaishiki-01,081,Utsubo eitaihama,Utsubo eitaihama [Gokusaishiki],Eitai Riverside at Utsubo,靱永代浜,21,September 1972 Program
76,Gokusaishiki-02,082,Hyōsuke uchi,Hyosuke uchi [Gokusaishiki],Hyosuke's House,兵助内 (天王寺村兵助内),21,September 1972 Program
77,Gokusaishiki-03,083,Masui,Masui [Gokusaishiki],The Masui Well,増井,21,September 1972 Program
