kashira_id,play_id
36,83
116,83
33,83
94,83
94,83
94,83
94,83
118,5
79,5
80,5
33,5
124,5
35,5
103,5
70,5
94,5
118,5
79,5
80,5
33,5
124,5
35,5
103,5
70,5
94,5
94,5
111,5
108,5
103,5
60,5
103,5
46,88
46,88
103,89
112,89
94,89
94,89
37,89
111,89
36,89
103,89
112,89
94,89
94,89
37,89
111,89
36,89
87,6
33,6
35,6
41,6
108,6
124,6
33,6
108,70
35,70
111,70
36,30
35,30
94,30
36,30
118,30
108,30
6,30
94,30
103,30
79,30
14,30
111,30
112,30
30,30
103,30
112,30
111,30
36,30
103,66
111,66
36,66
103,66
111,66
111,66
111,66
35,32
111,32
14,32
94,32
103,32
79,32
103,32
79,32
45,32
35,32
13,32
111,32
35,32
37,72
106,72
37,72
118,72
106,72
37,72
118,72
106,72
111,72
103,72
87,72
89,72
108,72
33,72
103,72
29,72
26,72
106,72
33,72
33,72
103,72
29,72
26,72
33,72
6,68
103,68
14,68
111,68
13,68
91,68
115,68
33,68
33,68
59,68
6,68
6,68
6,68
6,68
41,33
106,33
94,33
91,90
103,90
42,90
3,90
26,90
35,90
87,90
11,90
70,90
42,90
103,90
91,90
103,90
42,90
3,90
26,90
35,90
87,90
11,90
70,90
42,90
103,90
33,91
111,35
33,35
14,35
94,35
92,35
94,35
66,35
60,35
70,35
33,35
103,27
30,27
106,27
116,27
36,27
35,27
45,27
111,27
3,27
106,27
26,27
89,27
103,27
30,27
106,27
116,27
36,27
35,27
45,27
111,27
3,27
106,27
26,27
89,27
81,27
111,27
106,27
87,27
106,27
3,27
103,27
36,27
36,27
112,27
106,27
91,27
106,27
42,27
35,27
103,27
91,27
35,27
91,27
106,27
103,27
103,27
116,27
33,27
81,27
118,27
36,27
103,27
116,27
33,27
81,27
118,27
36,27
103,27
116,27
33,27
81,27
118,27
36,27
103,27
116,27
33,27
81,27
118,27
36,27
111,27
111,27
116,27
48,27
118,27
26,27
106,27
3,27
111,27
11,27
70,27
106,27
111,27
116,27
48,27
118,27
26,27
106,27
3,27
111,27
11,27
70,27
106,27
111,27
116,27
48,27
118,27
26,27
106,27
3,27
111,27
11,27
70,27
106,27
111,27
116,27
48,27
118,27
26,27
106,27
3,27
111,27
11,27
70,27
106,27
111,27
116,27
48,27
118,27
26,27
106,27
3,27
111,27
11,27
70,27
106,27
3,26
35,26
35,26
106,26
104,26
111,26
103,26
42,26
35,26
103,26
3,26
35,26
35,26
106,26
104,26
111,26
103,26
42,26
35,26
103,26
48,26
111,26
103,26
42,26
87,26
103,26
94,26
111,26
45,26
103,26
42,26
42,26
87,26
106,26
87,26
87,26
87,26
35,26
103,26
94,26
111,26
45,26
103,26
42,26
42,26
87,26
106,26
87,26
87,26
87,26
35,26
103,26
94,26
111,26
45,26
103,26
42,26
42,26
87,26
106,26
87,26
87,26
87,26
35,26
103,26
94,26
111,26
45,26
103,26
42,26
42,26
87,26
106,26
87,26
87,26
87,26
35,26
90,26
4,26
20,26
33,26
90,26
4,26
20,26
33,26
90,26
4,26
20,26
33,26
14,26
13,26
33,26
94,26
103,26
111,26
90,26
14,26
13,26
33,26
94,26
103,26
111,26
90,26
45,82
54,82
90,82
80,82
42,82
104,82
33,82
111,82
87,62
4,62
33,62
42,62
90,62
33,62
87,62
111,62
111,62
70,62
35,62
36,62
4,62
87,62
33,62
111,62
42,62
103,62
42,62
111,62
42,62
107,62
87,62
37,62
118,62
107,62
111,62
111,62
3,62
42,62
103,62
42,62
70,62
35,62
4,62
89,62
33,62
111,62
42,62
4,62
70,62
106,62
33,62
35,62
70,62
35,62
33,62
35,62
70,62
35,62
35,62
111,62
106,62
33,62
4,62
87,62
90,62
6,62
33,62
87,62
71,62
35,62
111,62
36,62
33,62
116,62
4,62
42,62
111,62
33,62
103,62
37,62
6,62
87,62
33,62
107,62
90,62
118,62
37,62
107,62
111,62
6,62
3,62
103,62
6,62
70,62
35,62
4,62
111,62
89,62
33,62
35,62
70,62
4,62
103,62
33,62
35,62
70,62
33,62
33,62
111,62
33,62
35,62
70,62
35,62
80,3
86,3
70,3
94,3
111,3
111,3
33,3
94,3
70,3
14,3
111,3
35,70
111,70
14,70
35,73
118,73
111,73
111,73
118,73
116,73
118,73
11,73
106,73
30,73
60,73
13,73
111,73
103,73
103,73
118,73
11,73
106,73
30,73
60,73
13,73
111,73
103,73
103,73
118,73
11,73
106,73
30,73
60,73
13,73
111,73
103,73
103,73
118,73
11,73
106,73
30,73
60,73
13,73
111,73
103,73
103,73
80,73
103,73
103,73
6,73
94,73
35,73
29,73
106,73
103,73
80,73
103,73
103,73
6,73
94,73
35,73
29,73
106,73
103,73
80,109
111,109
87,109
80,3
86,3
70,3
94,3
111,3
111,3
33,3
94,3
70,3
14,3
33,3
103,92
70,92
94,92
42,92
90,92
35,92
87,79
87,79
94,79
94,79
119,79
108,79
33,79
111,79
111,79
33,79
111,79
119,79
33,79
111,79
33,79
77,79
77,79
14,79
106,79
77,79
77,79
77,79
77,79
33,15
26,15
90,15
111,15
42,15
87,15
87,15
87,15
35,32
111,32
14,32
94,32
77,32
77,32
103,32
48,32
103,32
48,32
45,32
35,32
80,32
111,32
77,32
35,32
116,93
35,93
33,93
30,93
4,93
33,93
71,93
35,93
116,93
35,93
33,93
30,93
4,93
33,93
71,93
35,93
111,93
66,93
103,93
42,93
35,93
35,93
71,93
116,93
11,93
126,93
89,93
87,93
118,93
29,93
106,93
92,93
87,93
103,93
66,93
42,93
3,93
94,93
87,93
118,93
29,93
106,93
92,93
87,93
103,93
66,93
42,93
3,93
94,93
87,93
118,93
29,93
106,93
92,93
87,93
103,93
66,93
42,93
3,93
94,93
35,93
70,93
4,93
14,93
35,93
41,93
108,93
115,93
4,93
33,93
14,93
35,93
41,93
108,93
115,93
4,93
33,93
94,37
111,37
127,37
45,37
128,37
14,37
80,37
66,37
70,37
92,37
36,37
87,37
87,37
94,37
111,37
33,37
45,37
48,37
14,37
80,37
66,37
70,37
92,37
36,37
87,37
87,37
94,37
111,37
33,37
45,37
48,37
14,37
80,37
66,37
70,37
92,37
36,37
87,37
87,37
35,94
87,94
37,94
87,94
111,94
111,94
111,94
13,94
118,94
42,94
111,94
14,94
17,94
17,94
106,94
103,94
90,94
35,94
103,94
71,94
94,94
36,94
73,94
94,94
42,94
111,94
14,94
17,94
17,94
118,94
103,94
90,94
50,94
35,94
35,94
103,94
35,94
87,94
37,94
87,94
111,94
111,94
111,94
13,94
118,94
42,94
111,94
14,94
17,94
17,94
94,94
103,94
90,94
35,94
103,94
71,94
94,94
36,94
73,94
98,94
71,94
36,94
73,94
94,94
37,94
87,94
115,64
111,64
90,64
111,64
115,64
111,64
90,64
111,64
115,64
111,64
90,64
111,64
115,64
111,64
90,64
111,64
118,80
48,80
89,80
87,80
37,80
111,80
111,80
94,80
87,80
9,80
60,80
48,80
118,80
111,80
14,80
90,80
9,80
9,80
103,80
9,80
118,80
48,80
89,80
37,80
87,80
111,80
111,80
94,80
87,80
111,80
60,80
9,80
14,80
90,80
103,80
9,80
9,80
9,80
103,80
9,80
9,80
111,80
94,80
17,80
9,80
17,80
37,80
48,80
111,80
118,80
111,80
94,80
70,80
94,80
103,80
87,80
111,79
14,79
111,79
111,79
37,79
37,79
35,79
118,79
103,79
45,79
26,79
30,79
103,79
30,79
35,79
11,79
14,79
111,79
118,79
26,79
103,79
90,95
108,95
48,95
77,95
77,95
77,95
66,95
4,95
103,95
35,95
103,95
11,95
42,95
42,95
50,9
90,9
13,9
113,9
111,9
