id,dates,label_eng,label_ka,play_id,reference,sort_ja
48,1743-1822,Utei Enba,烏亭焉馬,[22],"碁太平記白石噺 : 一幕 / 紀上太郎, 烏亭焉馬, 容楊黛作, [東京] : 国立劇場, 1995.3 from a NACSIS record",うていえんば
49,1752-1810,Yamada Kakashi,山田案山子,[57],"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973);  Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, September 1983, p. 67.",やまだかかし
50,18th cent.,Yō Yōtai,容楊黛,"[22, 30]",LC Authorties,ようようたい
52,1691-1756,"Takeda Izumo, II",竹田出雲,"[18, 62, 63, 91, 143]",LC Authorities,たけだいずも
53,1767-1848,Takizawa Bakin,滝沢馬琴,[126],LC Authorities,たきざわばきん
54,nan,Satō Aiko,佐藤靄子,"[112, 133]",NACSIS,さとうあいこ
55,1909-,Sumi Fusako,鷲見房子,[111],NACSIS; (LC),すみふさこ
56,1747-1808,Namiki Gohei,並木五瓶,"[31, 49, 115, 146]",LC Authorities,なみきごへい
57,fl. 1773,Matsuda Wakichi,松田和吉,[109],LC Authorities,まつだわきち
58,fl. 1736-1772,Wakatake Fuemi,若竹笛躬,"[13, 35, 48, 75, 77, 97, 105, 109, 116]",LC Authorities,わかたけふえみ
59,nan,Kitamado Goichi,北窓後一,"[21, 25, 110, 141, 147]",nan,きたまどごいち
60,nan,Nihodō,二歩堂,"[25, 147]",nan,にほどう
61,nan,Chikamatsu Yanagi,近松柳,"[16, 120]","繪本太功記 / 近松やなぎ, 近松湖水軒, 千葉軒合作, 東京 : 金櫻堂, 1890.12, from NACSIS record",ちかまつやなぎ
62,nan,Koku Zōsu,黒蔵主,"[19, 48, 105]","Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973), under Musume Kagekiyo Yashima Nikki",こくぞうす
63,nan,Mitsu,nan,[19],nan,みつ
64,nan,Sagawa Tōta,佐川藤太,"[51, 58, 135, 139]","八陳守護城 / 中村漁岸, 佐川藤太作, 大坂 : 玉置清七, 文化4[1807]刊 from NACSIS record",さがわとうた
65,nan,Chikamatsu Baishiken,近松梅枝軒,"[51, 58, 120, 139]",nan,ちかまつばいしけん
66,nan,Yoshida Shingo,吉田新吾,"[51, 139]",nan,よしだしんご
67,nan,Nakamura Gyogan,中村漁岸,[135],"八陳守護城 / 中村漁岸, 佐川藤太作, 大坂 : 玉置清七, 文化4[1807]刊 from NACSIS record",なかむらぎょがん
68,nan,Yatami Heishichi,八民平七,"[33, 52, 82, 90]",nan,やたみへいしち
69,nan,Tamaki [Fudeji?],玉木筆二,[23],nan,たまきふでじ
71,nan,Tankō Tazō,亶侯多蔵,[23],Union Catalogue of Early Japanese Books,たんこうたぞう
72,nan,Tsutsui Hanbei,筒井半平,[23],nan,つついはんべい
73,nan,Asada Kakei,浅田可啓,[26],nan,あさだかけい
74,nan,Chikamatsu Kazō,近松加造,[120],NACSIS,ちかまつかぞう
75,nan,Chikamatsu Manju,近松万寿,[120],January 1989 Program (Hiyoshimaru),ちかまつまんじゅ
76,nan,Takeda Heishichi,竹田平七,[27],nan,たけだへいしち
77,nan,Naniwa Sanzō,難波三蔵,[72],nan,なにわさんぞう
78,1751 or 2-1810,Chikamatsu Tokuzō,近松徳三,[104],"LC Authorities; 伊勢音頭戀寐劔, [近松徳三作], ([大坂] : [藤川八蔵], [179-]) from NACSIS record",ちかまつとくぞう
79,nan,Terada Heizō,寺田兵蔵,[33],NACSIS,てらだへいぞう
80,nan,Takeda Bunkichi,竹田文吉,"[33, 52, 101]",nan,たけだぶんきち
81,d. 1798,Matsu Kanshi,松貫四,"[37, 45, 125]","LC Authorities; 伽羅先代萩 / 松貫四, 高橋武兵衛, 吉田角丸著, 東京 : 金櫻堂, 1891.1 from NACSIS record",まつかんし
82,nan,Yoshida Kakumaru,吉田角丸,"[37, 45, 125]","伽羅先代萩 / 松貫四, 高橋武兵衛, 吉田角丸著, 東京 : 金櫻堂, 1891.1 from NACSIS record",よしだかくまる
83,1887-1928,Kujō Takeko,九條武子,[12],NACSIS; LC,くじょうたけこ
84,nan,Fukumatsu Tōsuke,福松藤助,[105],nan,ふくまつとうすけ
85,nan,Namiki Eisuke,並木永輔,[105],nan,なみきえいすけ
86,d. 1760,Yoshida Kanshi,吉田冠子,[38],LC Authorities,よしだかんしち
87,nan,Kimura Tomiko,木村富子,[39],nan,きむらとみこ
88,nan,"Sakurada Jisuke, III",櫻田治助,"[100, 129, 157]",NACSIS,さくらだじいすけ
89,nan,Tamenaga Tarobei,為永太郎兵衛,[121],"久米仙人吉野櫻 / 為永太郎兵衛作, [出版地不明] : [出版者不明], 1743.8 from NACSIS record",ためながたろべい
90,nan,Amano Shirō,雨野士郎,[44],nan,あまのしろう
91,nan,Takahashi Buhei,高橋武兵衛,"[45, 125]","伽羅先代萩 / 松貫四, 高橋武兵衛, 吉田角丸著, 東京 : 金櫻堂, 1891.1 from NACSIS record",たかはしぶへい
92,1913-1947,Oda Sakunosuke,織田作之助,[156],LC Authorities,おださくのすけ
93,nan,Yamaguchi Kōichi,山口廣一,[103],nan,たまぐちこういち
94,nan,Yamada Shōichi,山田庄一,"[51, 161]",nan,やまだしょういち
95,nan,Uno Chiyo,宇野千代,[159],nan,うのちよ
96,nan,Matsuda Saiji,松田才二,[90],誕生梅蘇生松振袖天神記 / 近松半二[ほか]著 from NACSIS record,まつださいじ
97,nan,Takeda [Shinmatsu?],竹田新松,[90],nan,たけだしんまつ
98,nan,Chikamatsu Tōnan,近松東南,"[79, 90]","妹脊山婦女庭訓 : 十三鐘絹懸柳 / 近松半二 [ほか] 作 ; 三好松洛後見, 東京 : 金櫻堂, 1891.5 from NACSIS record; LC Authorities",ちかまつとうなん
99,1888-1948,Kikuchi Hiroshi,菊池寛,[86],LC Authorities,きくちひろし
100,nan,Takeda Izumi,竹田和泉,[110],NACSIS 奥州安達原 / 竹田和泉 [ほか] 作,たけだいずみ
